Team,Record,BRRtg,TeamID,Season
kansas,31-4,2.45,1242,2016
villanova,31-5,2.31,1437,2016
north carolina,30-6,2.13,1314,2016
virginia,28-7,2.09,1438,2016
oklahoma,27-7,2.04,1328,2016
oregon,29-6,2.02,1332,2016
xavier,28-6,2.01,1462,2016
michigan st.,29-6,1.96,1277,2016
miami (fl),27-7,1.94,1274,2016
west virginia,26-9,1.82,1452,2016
utah,26-9,1.81,1428,2016
indiana,27-7,1.69,1231,2016
smu,25-5,1.68,1374,2016
duke,25-10,1.68,1181,2016
maryland,26-8,1.67,1268,2016
seton hall,25-9,1.65,1371,2016
texas a&m,28-8,1.65,1401,2016
louisville,23-8,1.65,1257,2016
kentucky,27-9,1.61,1246,2016
iowa st.,23-11,1.6,1235,2016
purdue,26-9,1.59,1345,2016
st. joseph's,28-8,1.57,1386,2016
arizona,25-9,1.56,1112,2016
gonzaga,27-7,1.53,1211,2016
st. mary's (ca),28-5,1.51,0,2016
notre dame,23-11,1.46,1323,2016
cal,23-11,1.46,0,2016
providence,24-11,1.45,1344,2016
dayton,25-8,1.44,1173,2016
baylor,21-12,1.42,1124,2016
iowa,22-11,1.39,1234,2016
butler,22-11,1.38,1139,2016
texas,20-13,1.37,1400,2016
connecticut,25-11,1.31,1163,2016
wisconsin,22-12,1.3,1458,2016
south carolina,24-8,1.28,1376,2016
wichita st.,25-9,1.28,1455,2016
hawaii,26-6,1.24,1218,2016
colorado,21-12,1.24,1160,2016
ualr,28-5,1.23,1114,2016
pittsburgh,20-12,1.22,1338,2016
vcu,25-11,1.22,1433,2016
texas tech,19-13,1.22,1403,2016
san diego st.,24-9,1.21,1361,2016
michigan,22-13,1.21,1276,2016
valparaiso,26-6,1.2,1434,2016
southern california,21-13,1.16,1425,2016
syracuse,21-13,1.16,1393,2016
oregon st.,18-13,1.15,1333,2016
george washington,24-10,1.13,1203,2016
georgia tech,20-14,1.13,1210,2016
cincinnati,22-11,1.11,1153,2016
florida,21-14,1.1,1196,2016
chattanooga,27-6,1.08,1151,2016
st. bonaventure,22-9,1.07,1382,2016
florida st.,20-14,1.03,1199,2016
temple,21-12,1.02,1396,2016
monmouth,28-7,1.01,1284,2016
ohio st.,21-14,1.01,1326,2016
yale,22-7,1,1463,2016
georgia,20-14,1,1208,2016
virginia tech,20-15,0.99,1439,2016
washington,19-14,0.99,1449,2016
unc wilmington,23-8,0.97,1423,2016
stephen f. austin,24-6,0.96,1372,2016
vanderbilt,19-14,0.96,1435,2016
marquette,20-13,0.94,1266,2016
creighton,20-14,0.94,1166,2016
tulsa,20-12,0.92,1409,2016
akron,25-9,0.92,1103,2016
uc-irvine,24-9,0.91,1414,2016
byu,24-10,0.91,1140,2016
south dakota st.,24-8,0.91,1355,2016
grand canyon,25-6,0.9,1213,2016
hofstra,23-10,0.9,1220,2016
houston,22-10,0.9,1222,2016
kansas st.,17-16,0.9,1243,2016
fresno st.,23-10,0.89,1201,2016
princeton,21-7,0.89,1343,2016
stanford,14-15,0.88,1390,2016
evansville,24-9,0.87,1191,2016
uab,25-7,0.86,1412,2016
northwestern,20-12,0.85,1321,2016
alabama,18-15,0.85,1104,2016
stony brook,24-7,0.85,1392,2016
lsu,19-14,0.84,1261,2016
uni,22-13,0.82,1320,2016
mississippi,20-12,0.81,1279,2016
davidson,19-13,0.81,1172,2016
clemson,17-14,0.77,1155,2016
middle tenn.,23-10,0.73,1292,2016
ucla,15-17,0.72,1417,2016
north carolina st.,16-17,0.67,1301,2016
arizona st.,15-17,0.66,1113,2016
ipfw,22-10,0.65,1236,2016
ohio,21-11,0.64,1325,2016
william & mary,18-11,0.63,1456,2016
james madison,20-11,0.62,1241,2016
georgetown,15-18,0.62,1207,2016
boise st.,18-12,0.59,1129,2016
a&m-corpus christi,23-8,0.59,1394,2016
arkansas,16-16,0.57,1116,2016
southern ill.,22-10,0.56,1356,2016
penn st.,16-16,0.55,1336,2016
iona,22-11,0.55,1233,2016
long beach st.,18-15,0.54,1253,2016
memphis,19-15,0.51,1272,2016
texas-arlington,23-10,0.5,1426,2016
rhode island,17-15,0.49,1348,2016
east tenn. st.,21-11,0.48,1190,2016
oakland,21-11,0.47,1324,2016
richmond,16-16,0.46,1350,2016
buffalo,19-15,0.46,1138,2016
cal st. bakersfield,21-9,0.44,0,2016
uc-santa barbara,17-13,0.43,1364,2016
new mexico st.,21-11,0.43,1308,2016
nevada,18-13,0.43,1305,2016
illinois st.,17-14,0.42,1229,2016
tennessee,15-19,0.42,1397,2016
green bay,21-13,0.41,1453,2016
illinois,15-19,0.39,1228,2016
weber st.,23-9,0.39,1451,2016
columbia,20-10,0.38,1162,2016
unlv,16-15,0.38,1424,2016
louisiana tech,21-9,0.38,1256,2016
nebraska,16-18,0.37,1304,2016
northeastern,17-15,0.35,1318,2016
new mexico,17-15,0.33,1307,2016
albany (ny),23-9,0.33,1107,2016
kent st.,18-13,0.33,1245,2016
belmont,19-12,0.32,1125,2016
winthrop,20-9,0.31,1457,2016
mississippi st.,14-17,0.3,1280,2016
northern ill.,17-12,0.3,1296,2016
towson,18-12,0.3,1406,2016
old dominion,22-13,0.3,1330,2016
oklahoma st.,12-20,0.28,1329,2016
unc asheville,20-12,0.28,1421,2016
wake forest,11-20,0.27,1448,2016
duquesne,16-16,0.26,1182,2016
siena,21-13,0.26,1373,2016
col. of charleston,16-14,0.25,1158,2016
wright st.,20-13,0.24,1460,2016
ball st.,20-13,0.23,1123,2016
pepperdine,17-14,0.23,1337,2016
morehead st.,18-12,0.23,1287,2016
fordham,16-14,0.21,1200,2016
vermont,21-13,0.2,1436,2016
tcu,12-21,0.2,1395,2016
la.-monroe,18-14,0.18,1419,2016
north dakota st.,18-13,0.18,1295,2016
tennessee tech,17-11,0.17,1399,2016
eastern mich.,14-15,0.16,1185,2016
utah st.,14-15,0.16,1429,2016
high point,18-11,0.15,1219,2016
marshall,17-16,0.14,1267,2016
milwaukee,18-13,0.14,1454,2016
colorado st.,16-16,0.13,1161,2016
auburn,11-20,0.1,1120,2016
massachusetts,14-18,0.1,1269,2016
tennessee st.,18-11,0.1,1398,2016
coastal caro.,17-11,0.09,1157,2016
neb.-omaha,16-14,0.09,0,2016
la.-lafayette,17-14,0.08,1418,2016
north florida,19-12,0.06,1316,2016
fairfield,19-14,0.05,1193,2016
toledo,16-15,0.02,1405,2016
indiana st.,14-17,0.02,1232,2016
elon,14-16,0.02,1189,2016
montana,18-12,0.01,1285,2016
wagner,22-11,0,1447,2016
western ky.,16-16,-0.01,1443,2016
central mich.,14-16,-0.04,1141,2016
hampton,20-11,-0.05,1214,2016
murray st.,15-14,-0.07,1293,2016
denver,16-15,-0.09,1176,2016
missouri,10-21,-0.1,1281,2016
oral roberts,12-17,-0.1,1331,2016
depaul,9-22,-0.11,1177,2016
georgia st.,14-14,-0.13,1209,2016
mercer,17-15,-0.13,1273,2016
fla. gulf coast,17-14,-0.13,0,2016
furman,17-16,-0.13,1202,2016
wyoming,12-18,-0.13,1461,2016
detroit,14-15,-0.13,1178,2016
new hampshire,18-13,-0.16,1306,2016
utep,18-14,-0.16,1431,2016
loyola (il),14-17,-0.17,1260,2016
george mason,11-21,-0.17,1206,2016
idaho,19-13,-0.19,1225,2016
ucf,12-18,-0.19,1416,2016
boston u.,18-14,-0.19,1131,2016
bucknell,16-14,-0.2,1137,2016
st. louis,11-21,-0.2,0,2016
radford,14-15,-0.21,1347,2016
san francisco,14-15,-0.22,1362,2016
ut martin,18-15,-0.23,1404,2016
njit,17-14,-0.23,1312,2016
washington st.,8-22,-0.23,1450,2016
miami (oh),12-20,-0.23,1275,2016
bowling green,14-18,-0.24,1132,2016
east carolina,12-20,-0.24,1187,2016
air force,12-18,-0.24,1102,2016
navy,18-14,-0.25,1298,2016
lehigh,16-15,-0.25,1250,2016
western caro.,13-18,-0.26,1441,2016
iupui,12-19,-0.27,1237,2016
austin peay,16-18,-0.27,1122,2016
harvard,12-16,-0.28,1217,2016
western mich.,11-19,-0.28,1444,2016
missouri st.,12-19,-0.29,1283,2016
incarnate word,14-11,-0.29,1230,2016
army,18-14,-0.29,1119,2016
south dakota,12-18,-0.3,1377,2016
loyola marymount,13-17,-0.32,1258,2016
eastern ky.,14-16,-0.35,1184,2016
wofford,13-17,-0.35,1459,2016
tulane,12-22,-0.37,1408,2016
texas southern,18-15,-0.38,1411,2016
southern u.,19-13,-0.38,1380,2016
la salle,8-22,-0.39,1247,2016
minnesota,8-23,-0.39,1278,2016
charlotte,14-19,-0.4,1150,2016
gardner-webb,14-16,-0.4,1205,2016
south carolina st.,17-15,-0.43,1354,2016
eastern wash.,16-15,-0.43,1186,2016
st. peter's,14-16,-0.43,1389,2016
sam houston st.,15-15,-0.45,1358,2016
north dakota,14-16,-0.45,1315,2016
fairleigh dickinson,17-15,-0.46,1192,2016
st. john's (ny),7-24,-0.47,1385,2016
canisius,14-19,-0.48,1145,2016
texas st.,13-16,-0.49,1402,2016
unc greensboro,12-18,-0.49,1422,2016
ga. southern,12-17,-0.51,1204,2016
manhattan,13-18,-0.52,1264,2016
portland,11-20,-0.53,1339,2016
south ala.,12-19,-0.54,1375,2016
jackson st.,18-16,-0.56,1238,2016
santa clara,10-20,-0.58,1365,2016
south fla.,8-25,-0.58,1378,2016
boston college,7-25,-0.59,1130,2016
seattle,13-16,-0.59,1370,2016
norfolk st.,15-17,-0.61,1313,2016
uc-riverside,12-19,-0.63,1415,2016
idaho st.,14-15,-0.64,1226,2016
eastern ill.,11-17,-0.64,1183,2016
rider,13-20,-0.64,1351,2016
colgate,12-17,-0.65,1159,2016
houston baptist,13-17,-0.65,1223,2016
cal poly,8-20,-0.66,1142,2016
holy cross,15-20,-0.67,1221,2016
samford,12-19,-0.67,1359,2016
montana st.,13-17,-0.68,1286,2016
sacramento st.,12-17,-0.69,1170,2016
long island,16-15,-0.7,1254,2016
western ill.,7-17,-0.7,1442,2016
american,12-19,-0.72,1110,2016
penn,10-17,-0.72,1335,2016
cornell,9-18,-0.74,1165,2016
jacksonville,12-16,-0.75,1239,2016
uc-davis,9-19,-0.75,1413,2016
fiu,11-19,-0.77,1198,2016
rice,10-20,-0.78,1349,2016
liberty,10-19,-0.78,1251,2016
appalachian st.,9-22,-0.79,1111,2016
savannah st.,14-16,-0.79,1366,2016
arkansas st.,9-20,-0.8,1117,2016
drexel,6-24,-0.81,1180,2016
mt. st. mary's,14-19,-0.81,1291,2016
st. francis (ny),14-17,-0.81,1383,2016
youngstown st.,9-21,-0.83,1464,2016
san diego,8-21,-0.83,1360,2016
kennesaw st.,9-20,-0.83,1244,2016
umkc,9-19,-0.83,1282,2016
north texas,10-20,-0.84,1317,2016
pacific,6-20,-0.85,1334,2016
dartmouth,9-18,-0.86,1171,2016
st. francis (pa),12-17,-0.86,1384,2016
portland st.,11-18,-0.86,1340,2016
san jose st.,6-22,-0.86,1363,2016
cal st. northridge,8-20,-0.86,1169,2016
lipscomb,10-21,-0.86,1252,2016
rutgers,6-25,-0.87,1353,2016
alcorn st.,13-15,-0.87,1108,2016
