Team,Record,BRRtg,TeamID,Season
quinnipiac,19-12,0.03,1346,2023
east carolina,16-17,0.01,1187,2023
tarleton state,13-16,0,0,2023
george washington,15-16,0,1203,2023
morehead state,17-11,-0.01,1287,2023
st. joseph's,16-17,-0.03,1386,2023
uc-davis,16-14,-0.03,1413,2023
st. thomas (mn),17-14,-0.06,0,2023
florida gulf coast,16-15,-0.07,1195,2023
brown,14-13,-0.08,1135,2023
montana,16-14,-0.08,1285,2023
air force,14-18,-0.09,1102,2023
bryant,15-13,-0.1,1136,2023
california baptist,15-16,-0.11,1465,2023
south florida,14-18,-0.12,1378,2023
queens (nc),15-15,-0.12,0,2023
longwood,18-12,-0.12,1255,2023
north carolina central,14-12,-0.12,1300,2023
st. bonaventure,14-18,-0.12,1382,2023
long beach state,15-16,-0.13,1253,2023
north alabama,15-14,-0.13,1466,2023
maryland-eastern shore,14-13,-0.14,1271,2023
weber state,16-15,-0.15,1451,2023
buffalo,13-17,-0.15,1138,2023
pacific,14-17,-0.15,1334,2023
south carolina,11-21,-0.15,1376,2023
delaware,16-16,-0.15,1174,2023
louisiana tech,12-18,-0.16,1256,2023
la salle,15-19,-0.16,1247,2023
utep,12-18,-0.17,1431,2023
radford,17-14,-0.17,1347,2023
portland,12-19,-0.18,1339,2023
alcorn state,18-13,-0.18,1108,2023
depaul,10-23,-0.18,1177,2023
georgia southern,14-16,-0.19,1204,2023
navy,17-13,-0.19,1298,2023
notre dame,11-21,-0.21,1323,2023
fresno state,10-20,-0.21,1201,2023
texas state,14-18,-0.21,1402,2023
appalachian state,13-16,-0.21,1111,2023
harvard,12-14,-0.21,1217,2023
drexel,16-15,-0.23,1180,2023
florida international,12-18,-0.24,1198,2023
northern iowa,13-18,-0.25,1320,2023
north dakota state,14-17,-0.25,1295,2023
rider,15-14,-0.26,1351,2023
siena,17-15,-0.26,1373,2023
umbc,17-14,-0.3,1420,2023
chattanooga,15-17,-0.32,1151,2023
ipfw,15-15,-0.32,1236,2023
wright state,16-15,-0.32,1460,2023
smu,10-22,-0.32,1374,2023
bellarmine,12-18,-0.34,1468,2023
wyoming,8-22,-0.34,1461,2023
western carolina,15-15,-0.34,1441,2023
minnesota,9-22,-0.34,1278,2023
southern illinois-edwardsville,16-14,-0.35,1188,2023
western illinois,13-14,-0.35,1442,2023
north florida,12-17,-0.36,1316,2023
florida state,9-23,-0.36,1199,2023
niagara,15-15,-0.37,1310,2023
south carolina upstate,14-15,-0.37,1367,2023
southeast missouri state,17-16,-0.38,1369,2023
utah tech,11-19,-0.38,0,2023
wofford,14-16,-0.39,1459,2023
southeastern louisiana,15-14,-0.39,1368,2023
oregon state,10-21,-0.41,1333,2023
texas-rio grande valley,11-17,-0.42,1410,2023
jacksonville,10-16,-0.43,1239,2023
new hampshire,13-15,-0.45,1306,2023
lehigh,14-14,-0.45,1250,2023
abilene christian,9-17,-0.46,1101,2023
ut-martin,15-14,-0.49,1404,2023
gardner-webb,13-16,-0.51,1205,2023
new mexico state,6-15,-0.51,1308,2023
american,17-15,-0.51,1110,2023
winthrop,13-17,-0.52,1457,2023
campbell,14-18,-0.55,1144,2023
san diego,9-20,-0.56,1360,2023
detroit,13-19,-0.57,1178,2023
oakland,12-19,-0.6,1324,2023
sacramento state,12-18,-0.6,1170,2023
loyola (il),10-21,-0.6,1260,2023
robert morris,14-17,-0.6,1352,2023
tennessee state,14-14,-0.61,1398,2023
army,15-16,-0.62,1119,2023
rhode island,9-22,-0.62,1348,2023
northern colorado,12-19,-0.62,1294,2023
texas-arlington,8-21,-0.62,1426,2023
jacksonville state,10-18,-0.63,1240,2023
northern illinois,12-18,-0.64,1296,2023
nicholls state,12-15,-0.64,1311,2023
merrimack,16-16,-0.65,1467,2023
maine,11-17,-0.66,1263,2023
boston university,14-17,-0.66,1131,2023
pepperdine,7-22,-0.66,1337,2023
tennessee tech,13-17,-0.66,1399,2023
morgan state,11-16,-0.67,1288,2023
fairfield,12-18,-0.67,1193,2023
southern indiana,13-16,-0.68,0,2023
high point,12-17,-0.7,1219,2023
illinois state,11-21,-0.71,1229,2023
mercer,12-19,-0.71,1273,2023
denver,13-17,-0.72,1176,2023
st. peter's,13-18,-0.72,1389,2023
georgetown,7-25,-0.73,1207,2023
fairleigh dickinson,17-15,-0.73,1192,2023
north dakota,11-20,-0.74,1315,2023
uic,11-20,-0.74,1227,2023
utsa,8-22,-0.74,1427,2023
binghamton,11-18,-0.75,1127,2023
south dakota,10-19,-0.75,1377,2023
william & mary,11-20,-0.76,1456,2023
marist,13-20,-0.76,1265,2023
mount st. mary's,12-20,-0.77,1291,2023
