Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
clemson,ACC,12.71,111.2,98.4,68.1,0.016,2.73,107.7,105,-5.57,1155,2023
ucf,Amer,12.59,110.2,97.6,64.4,-0.113,4.01,107.4,103.4,-0.29,1416,2023
seton hall,BE,12.38,107,94.6,66.3,-0.057,9.77,110.1,100.3,2.69,1371,2023
washington st.,P12,12.33,111.5,99.2,64.5,-0.079,8.73,109.2,100.5,5.17,1450,2023
drake,MVC,12.3,109.7,97.4,66.4,0.026,-1.83,103.9,105.8,-1.78,1179,2023
sam houston st.,WAC,12.27,106.6,94.4,64.4,0.052,2.15,105.9,103.8,7.2,1358,2023
wisconsin,B10,12.23,107,94.8,63.3,-0.002,10.36,111,100.6,1.04,1458,2023
arizona st.,P12,12.22,107.5,95.3,68.4,0.069,8.52,108.9,100.4,1.33,1113,2023
yale,Ivy,12.09,110,97.9,66.3,-0.053,-0.11,105,105.1,0.45,1463,2023
kent st.,MAC,11.87,108.3,96.5,68,0.019,-1.46,106.3,107.8,3.49,1245,2023
charleston,CAA,11.84,111.4,99.6,70.9,0.052,-5.65,102.4,108,-1.98,1158,2023
iona,MAAC,11.73,110.8,99.1,68.9,-0.006,-3.79,102.6,106.4,4.32,1233,2023
utah,P12,11.68,107.6,95.9,66.2,-0.077,6.65,107.5,100.9,-3.64,1428,2023
byu,WCC,11.59,109.2,97.6,69.6,-0.103,5.3,108.5,103.2,1.25,1140,2023
pittsburgh,ACC,11.47,115,103.5,67.2,0.041,4.05,108,104,-2.88,1338,2023
dayton,A10,11.21,110,98.8,62.3,-0.056,0.18,104.7,104.5,-1.7,1173,2023
vanderbilt,SEC,11.11,115.3,104.2,66.8,0.083,9.34,109.2,99.9,2.23,1435,2023
utah valley,WAC,10.87,107.3,96.5,70,0.046,2.03,106.2,104.1,5.11,1430,2023
virginia tech,ACC,10.25,113.9,103.7,66.6,-0.06,4.58,108,103.4,-3.92,1439,2023
santa clara,WCC,10.16,111.3,101.2,70,0.09,4.33,108.7,104.4,1.12,1365,2023
marshall,SB,9.62,111.2,101.6,72.1,-0.063,-2.82,103.8,106.6,-3.53,1267,2023
stanford,P12,9.61,114.1,104.5,65.7,-0.125,7.99,107.7,99.7,-0.04,1390,2023
st. john's,BE,9.49,108,98.5,73.4,-0.013,6.78,108.3,101.5,-7.72,1385,2023
hofstra,CAA,9.02,111.5,102.5,67.1,0.043,-2.63,103.1,105.7,6.92,1220,2023
toledo,MAC,8.98,119.8,110.8,69.6,0.035,-2.68,104.4,107.1,-1.18,1405,2023
wake forest,ACC,8.61,112.1,103.5,69.6,-0.012,4.97,108,103.1,-2.18,1448,2023
bradley,MVC,8.5,107.1,98.6,65.4,0.059,-0.69,104,104.7,0.27,1133,2023
furman,SC,8.42,114.2,105.8,68.4,0,-4.42,104,108.4,-2.11,1202,2023
unlv,MWC,8.15,107.8,99.7,69.4,0.014,5.49,107.8,102.3,-2.73,1424,2023
louisiana,SB,8.04,112.2,104.1,68.4,0.077,-0.43,104.1,104.6,0.23,1418,2023
san jose st.,MWC,7.92,110.7,102.8,62.7,0.086,6.88,108.5,101.6,-1.02,1363,2023
south alabama,SB,7.58,108.2,100.6,65.7,-0.111,0.76,104.8,104,3.93,1375,2023
nebraska,B10,7.52,106.7,99.2,67.1,0.053,10.45,110.5,100.1,2.09,1304,2023
saint louis,A10,7.43,111.7,104.3,69.3,0.027,2.46,105.3,102.8,4.24,1387,2023
uc irvine,BW,7.3,107.8,100.5,69.5,-0.045,-0.79,103.4,104.2,3.37,1414,2023
indiana st.,MVC,7.23,110.5,103.2,70.6,-0.104,-4.65,102,106.7,-6.57,1232,2023
san francisco,WCC,6.94,110.1,103.2,68.6,0.019,4.03,108.2,104.1,-2.56,1362,2023
uc santa barbara,BW,6.66,111.4,104.7,64.9,0.057,-2.36,102.8,105.2,-2.67,1364,2023
james madison,SB,6.63,106.7,100.1,70.5,-0.053,-1.54,103.7,105.2,-4.27,1241,2023
wichita st.,Amer,6.52,106.8,100.3,66.3,-0.049,2.78,106.3,103.5,-1.81,1455,2023
southern miss,SB,6.46,107.3,100.8,68.8,0.102,-0.25,105,105.3,-3.34,1379,2023
akron,MAC,6.41,109.9,103.5,65.3,0.002,-1.81,105.1,107,-0.59,1103,2023
colorado st.,MWC,6.39,112.3,105.9,66.1,-0.055,7.38,108.4,101,2.18,1161,2023
loyola marymount,WCC,6.33,110,103.7,67,0.079,4.35,109,104.6,0.42,1258,2023
tulane,Amer,6.3,110.2,103.9,73.1,0.076,1.86,105.5,103.7,-7.96,1408,2023
washington,P12,6.22,105.7,99.5,69.2,0.037,7.9,108.1,100.2,-0.09,1449,2023
grand canyon,WAC,6,112.3,106.3,65.1,0.042,0.99,104.7,103.7,0.1,1213,2023
montana st.,BSky,5.9,105.4,99.5,66.4,0.082,-0.94,106.3,107.3,4.48,1286,2023
southern utah,WAC,5.65,110.2,104.5,71.9,0.045,3.4,106.3,102.9,5.29,1381,2023
princeton,Ivy,5.55,109.2,103.6,67.4,0.024,-2.57,103.4,105.9,-4.75,1343,2023
vermont,AE,5.4,109.8,104.4,64.6,0.051,-3.7,103.3,107,5.81,1436,2023
colgate,Pat,5.3,113,107.7,67.8,0.004,-7.7,100.7,108.4,-1.18,1159,2023
mississippi,SEC,5.04,106.8,101.7,66.1,-0.078,8.03,108.9,100.8,1.45,1279,2023
eastern washington,BSky,4.98,112,107,68.6,0.069,-1.02,105,106,1.9,1186,2023
unc greensboro,SC,4.96,103.5,98.5,65.9,-0.044,-2.33,105.5,107.8,2.98,1422,2023
charlotte,CUSA,4.78,108.1,103.3,60.4,-0.038,-0.59,104.6,105.2,-7.05,1150,2023
temple,Amer,4.57,107.3,102.7,66,0.021,5.04,106.9,101.8,1.37,1396,2023
cal st. fullerton,BW,4.56,105,100.4,64.8,0.011,0.99,104.8,103.8,3.82,1168,2023
syracuse,ACC,4.5,110.4,105.9,67.5,0.002,2.91,107.5,104.6,-5.81,1393,2023
middle tennessee,CUSA,4.34,106.6,102.2,66.9,0.027,2.9,107,104.1,1.8,1292,2023
butler,BE,4.01,102.5,98.5,65.5,-0.001,9.89,110.6,100.7,1.21,1139,2023
duquesne,A10,3.98,108.6,104.6,68.2,0.012,-1.74,104.8,106.5,-3.97,1182,2023
belmont,MVC,3.93,111.5,107.5,68.3,0.025,-1.62,103.8,105.4,0.84,1125,2023
hawaii,BW,3.86,102.1,98.2,64.7,-0.014,-3.09,102.9,106,-5.68,1218,2023
kennesaw st.,ASun,3.64,106.4,102.7,68.5,0.147,-1.53,105.1,106.6,5.03,1244,2023
towson,CAA,3.58,108.2,104.6,64.9,-0.048,-4.6,102.4,107,-3.55,1406,2023
youngstown st.,Horz,3.53,112.9,109.4,68,-0.01,-6.66,102.3,109,-5.38,1464,2023
troy,SB,3.42,104.8,101.4,67.9,-0.02,-0.26,104.5,104.8,0.1,1407,2023
ohio,MAC,3.38,110.8,107.5,68.4,-0.038,-2.14,105.8,107.9,0.12,1325,2023
stephen f. austin,WAC,3.21,105.5,102.3,69.2,-0.004,0.09,105.1,105,-1.67,1372,2023
penn,Ivy,3.12,110.4,107.3,66.9,-0.003,-0.5,104.8,105.3,-0.54,1335,2023
fresno st.,MWC,2.97,103.6,100.6,64.2,-0.083,6.78,109.5,102.7,1.18,1201,2023
samford,SC,2.93,109.3,106.3,68.3,0.002,-3.86,104.2,108,-1.58,1359,2023
southern illinois,MVC,2.74,101.2,98.5,63.9,0.087,-2.16,103.8,105.9,-3.23,1356,2023
uc riverside,BW,2.7,107.9,105.2,66.8,0.097,0.4,104.6,104.2,4.44,1415,2023
umass lowell,AE,2.62,107.8,105.1,68.8,0.011,-10.25,98.8,109.1,-12.69,1262,2023
fordham,A10,2.51,103.2,100.7,69.7,0.121,-4.57,101.9,106.5,-13.56,1200,2023
davidson,A10,2.49,107.4,105,65.1,-0.034,1.2,105.1,103.9,-1.38,1172,2023
seattle,WAC,2.35,102.1,99.8,69.1,0.092,1.56,106.3,104.8,1.06,1370,2023
depaul,BE,2.31,107.9,105.6,68.8,-0.012,10.19,110.3,100.1,2.33,1177,2023
air force,MWC,1.96,106.4,104.4,63.2,-0.057,2.37,107,104.6,-10.22,1102,2023
cornell,Ivy,1.72,112.1,110.4,71.2,-0.005,-1.93,103.6,105.6,-4.56,1165,2023
lsu,SEC,1.64,106.7,105,65.8,0.027,6.69,108.6,101.9,-6.24,1261,2023
unc asheville,BSth,1.5,104.1,102.6,68.5,0.152,-5.32,102.8,108.1,-0.6,1421,2023
george mason,A10,1.47,102.7,101.2,66.3,0.061,-0.88,104.8,105.7,-1.78,1206,2023
utah tech,WAC,1.46,107.9,106.4,68.6,-0.1,2.79,106.2,103.4,4.09,0,2023
georgia,SEC,1.43,104.5,103,67.7,0.069,4.4,107.5,103.1,-7.01,1208,2023
south florida,Amer,1.36,105.9,104.6,68.3,-0.067,0.73,105.3,104.6,-6.97,1378,2023
portland,WCC,1.27,111,109.8,69.1,-0.056,4.44,108.6,104.2,0.65,1339,2023
wyoming,MWC,1.23,107.9,106.7,65.7,-0.099,7.3,109.1,101.8,-0.16,1461,2023
uc davis,BW,1.19,104.9,103.7,70.5,-0.028,-1.74,103.3,105.1,-0.73,1413,2023
missouri st.,MVC,1.16,104.5,103.4,62.2,-0.021,-0.97,103.8,104.8,1.67,1283,2023
richmond,A10,1.08,103.7,102.6,65.3,-0.075,-0.53,105,105.5,-2.64,1350,2023
cal baptist,WAC,1.04,103.8,102.7,64.1,-0.047,-0.75,104,104.8,-6.62,1465,2023
lipscomb,ASun,1.02,104.9,103.9,69.4,-0.001,-2.62,105.5,108.1,-2.41,1252,2023
unc wilmington,CAA,0.97,102.4,101.5,65.4,0.133,-3.3,103.3,106.6,3.89,1423,2023
montana,BSky,0.76,109,108.2,63.6,0.017,-0.66,105.6,106.3,3.49,1285,2023
long beach st.,BW,0.53,105.5,104.9,72.9,-0.012,0.29,103.8,103.5,6.57,1253,2023
tarleton st.,WAC,0.53,103.5,103,66.6,0.027,3.55,106.7,103.2,7.25,0,2023
northern kentucky,Horz,0.47,103.3,102.8,62,0.053,-3.94,104.4,108.3,4.11,1297,2023
harvard,Ivy,0.28,101.3,101,65.9,-0.081,-1.74,104,105.7,-2.85,1217,2023
south dakota st.,Sum,0.21,105.2,105,66.6,0.066,-1.71,105.1,106.8,8.72,1355,2023
georgia tech,ACC,0.21,104.3,104.1,66.7,-0.003,4.44,108.7,104.3,-2.98,1210,2023
stetson,ASun,0.21,113.7,113.5,64.6,0.034,-0.63,105.7,106.3,6.4,1391,2023
ball st.,MAC,0.17,108.1,107.9,67.5,0.019,-3.47,104.9,108.3,-4.07,1123,2023
notre dame,ACC,0.04,108.8,108.8,64.9,-0.066,3.21,107.7,104.4,-3.78,1323,2023
eastern kentucky,ASun,-0.05,103.4,103.5,70.1,0.072,-1.15,105,106.2,2.76,1184,2023
longwood,BSth,-0.26,104.3,104.5,65.9,-0.032,-7.31,101.9,109.2,-8.03,1255,2023
louisiana tech,CUSA,-0.3,105.5,105.8,66.5,-0.028,2.57,106.2,103.6,0.7,1256,2023
texas a&m corpus chris,Slnd,-0.31,107.1,107.4,69.2,0.029,-9.04,101.2,110.2,1.46,0,2023
boston college,ACC,-0.41,102.6,103.1,66.5,0.09,3.87,108.1,104.2,-4.39,1130,2023
grambling st.,SWAC,-0.65,100.2,100.8,66.2,0.09,-8.78,98.9,107.7,4,1212,2023
old dominion,SB,-0.71,103.2,103.9,64.9,0.099,-0.7,104.2,104.9,-1.53,1330,2023
east carolina,Amer,-0.73,103.4,104.1,67.4,0.036,0.83,105.6,104.8,-8.56,1187,2023
pepperdine,WCC,-0.73,105.4,106.2,72.2,-0.14,5.45,109.8,104.3,3.41,1337,2023
cleveland st.,Horz,-0.81,104.4,105.2,65.9,0.029,-5.03,103.3,108.3,0.35,1156,2023
appalachian st.,SB,-0.83,101.4,102.2,65,-0.035,-0.75,104.7,105.4,-0.71,1111,2023
western kentucky,CUSA,-0.85,104.9,105.7,67.6,0.052,1.41,105.8,104.4,-3.76,1443,2023
pacific,WCC,-0.86,108.3,109.2,69.6,0.043,2.19,107.6,105.4,-3.26,1334,2023
smu,Amer,-0.88,103.3,104.2,69.6,-0.048,6.32,108,101.7,4.12,1374,2023
radford,BSth,-0.92,104.5,105.4,64.5,-0.038,-4.44,103.6,108.1,0.94,1347,2023
navy,Pat,-0.97,103.8,104.7,64.5,-0.038,-6.99,101.6,108.6,-1.5,1298,2023
brown,Ivy,-1.01,100.8,101.8,69.3,0.005,-2.28,104,106.3,-4.34,1135,2023
chattanooga,SC,-1.03,108.2,109.2,68.5,-0.065,-2.59,105,107.6,1.09,1151,2023
new mexico st.,WAC,-1.1,105.7,106.8,69.3,-0.088,4.02,106.2,102.2,4.51,1308,2023
florida gulf coast,ASun,-1.19,105,106.2,66.3,0.006,-2.82,104.4,107.2,1.24,1195,2023
weber st.,BSky,-1.21,100.5,101.8,65.2,0.064,0.33,106.4,106.1,5.46,1451,2023
north carolina central,MEAC,-1.23,100.9,102.2,67.9,-0.058,-5.95,101.1,107,5,1300,2023
utep,CUSA,-1.35,99.2,100.6,67,-0.008,1.53,106.1,104.6,-2.14,1431,2023
texas st.,SB,-1.4,104.7,106.1,63.6,0.001,0.34,104.6,104.3,-0.79,1402,2023
abilene christian,WAC,-1.42,105.9,107.3,69.2,-0.05,2.44,105.6,103.1,0.27,1101,2023
norfolk st.,MEAC,-1.47,107.5,108.9,65.3,0.065,-7.69,100.3,108,-1.48,1313,2023
wright st.,Horz,-1.49,104.4,105.9,71.3,-0.081,-5.78,103.1,108.9,-1.61,1460,2023
quinnipiac,MAAC,-1.49,104.2,105.7,69.7,0.007,-5.58,101,106.6,-3.51,1346,2023
saint joseph's,A10,-1.51,104.4,105.9,69.3,-0.007,-1.85,104.4,106.2,-5.79,1386,2023
