Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
alabama,SEC,0.7525,108.3,98.3,62.1,-0.019,0.6826,105.8,99,0.4896,1104,2015
syracuse,ACC,0.7509,103,93.6,66.6,-0.024,0.668,106.1,99.9,0.4813,1393,2015
valparaiso,Horz,0.7499,103.8,94.3,62.8,0.07,0.4372,102,104.3,0.4057,1434,2015
old dominion,CUSA,0.7473,105,95.6,60.4,0.037,0.449,101.2,103,0.4668,1330,2015
illinois,B10,0.7467,104,94.7,65.2,-0.028,0.6414,105.4,100.2,0.4316,1228,2015
saint mary's,WCC,0.7436,108.6,99,62.6,0.034,0.5664,104.5,102.1,0.4671,1388,2015
south carolina,SEC,0.7426,102.9,93.9,64.4,-0.048,0.7019,106.3,98.6,0.5134,1376,2015
colorado st.,MWC,0.7404,109,99.5,66.9,0.098,0.4965,101.7,101.8,0.4591,1161,2015
green bay,Horz,0.7376,102.3,93.5,65.2,0.036,0.506,103.5,103.2,0.5659,1453,2015
arizona st.,P12,0.7361,107.4,98.2,66,-0.033,0.6393,104.1,99.1,0.4276,1113,2015
georgia st.,SB,0.7344,108.4,99.2,63.3,-0.008,0.4461,100,101.9,0.6013,1209,2015
tulsa,Amer,0.7288,100.6,92.3,64,0.088,0.5624,103.1,100.8,0.5245,1409,2015
murray st.,OVC,0.7229,113.1,104,66.7,0.098,0.3972,100.5,104.2,0.455,1293,2015
yale,Ivy,0.7206,104.7,96.5,62.4,0.029,0.5385,102.6,101.2,0.6072,1463,2015
george washington,A10,0.719,105.4,97.2,61.9,0.007,0.5553,103.1,101.1,0.4341,1203,2015
louisiana tech,CUSA,0.7092,104.7,96.9,67.5,0.019,0.4444,100.8,102.8,0.428,1256,2015
michigan,B10,0.7091,107.9,99.9,60.1,-0.008,0.7151,106.9,98.7,0.5593,1276,2015
harvard,Ivy,0.7059,102,94.5,61.5,0.114,0.4989,102.3,102.3,0.5321,1217,2015
sam houston st.,Slnd,0.698,100.9,93.8,64.8,-0.039,0.3579,100.6,105.9,0.4876,1358,2015
pittsburgh,ACC,0.6974,112.7,104.8,61,0.023,0.6583,105.6,99.7,0.4327,1338,2015
kansas st.,B12,0.6898,103.3,96.3,62.5,0.009,0.7289,106.4,97.7,0.4827,1243,2015
creighton,BE,0.681,108.3,101.4,62.8,-0.082,0.6624,104.9,99,0.3989,1166,2015
penn st.,B10,0.6793,102.2,95.8,65.9,0.005,0.6494,105.3,99.8,0.3711,1336,2015
central michigan,MAC,0.6785,112.3,105.2,63.9,0.027,0.461,102.6,104,0.2278,1141,2015
memphis,Amer,0.6749,103.5,97.1,66.5,-0.033,0.5565,102.4,100.4,0.4984,1272,2015
clemson,ACC,0.6713,101.5,95.4,62.3,0.01,0.6521,105.7,100.1,0.3938,1155,2015
toledo,MAC,0.6694,111.2,104.6,67.3,-0.03,0.5498,104.2,102.4,0.5317,1405,2015
new mexico st.,WAC,0.6674,104.1,97.9,63.7,-0.051,0.3475,99.3,104.9,0.5291,1308,2015
tennessee,SEC,0.6666,107.4,101.1,60.6,0.03,0.6858,105.5,98.6,0.5081,1397,2015
wofford,SC,0.6617,103.3,97.5,61.5,0.141,0.4109,102.3,105.5,0.6585,1459,2015
georgia tech,ACC,0.6604,100.1,94.5,63.9,-0.07,0.6931,106.7,99.4,0.4984,1210,2015
akron,MAC,0.6604,102.8,97,63.8,-0.041,0.48,102.3,103,0.319,1103,2015
uc davis,BW,0.6586,110.3,104.1,63.2,0.06,0.4164,100.7,103.7,0.3397,1413,2015
uc irvine,BW,0.6559,103.9,98.3,63.7,-0.007,0.5257,102.6,101.7,0.592,1414,2015
colorado,P12,0.6556,104.7,99,65.5,-0.042,0.6594,105.9,100,0.476,1160,2015
bowling green,MAC,0.6524,104.7,99.1,63.8,-0.024,0.4725,102.2,103.1,0.3704,1132,2015
utep,CUSA,0.6515,104.1,98.5,64.7,-0.005,0.4618,101.7,103.1,0.5141,1431,2015
san diego,WCC,0.6502,101.4,96.1,63.1,-0.076,0.6004,105.3,101.7,0.5474,1360,2015
cleveland st.,Horz,0.649,105.3,99.8,60.9,-0.083,0.5189,102.3,101.6,0.5688,1156,2015
unlv,MWC,0.6474,106.5,101,65.5,-0.028,0.5718,102.3,99.7,0.6668,1424,2015
la salle,A10,0.6413,98.3,93.5,64.6,-0.017,0.6139,104.1,100,0.5837,1247,2015
wyoming,MWC,0.6373,101.8,97,59.2,0.084,0.4551,100.8,102.4,0.2799,1461,2015
florida st.,ACC,0.6341,102.3,97.6,66.4,0.037,0.6325,105.2,100.4,0.3614,1199,2015
seton hall,BE,0.6337,106.1,101.2,66.2,0.012,0.6857,105.7,98.8,0.4518,1371,2015
south dakota st.,Sum,0.6324,104.9,100.1,66.1,-0.01,0.3998,100.8,104.4,0.5114,1355,2015
pepperdine,WCC,0.6308,99.1,94.6,63.6,0.009,0.5713,104.4,101.8,0.3817,1337,2015
st. bonaventure,A10,0.6272,102.8,98.2,64.7,0.01,0.538,102.7,101.4,0.3635,1382,2015
iona,MAAC,0.6271,110.4,105.5,69.5,0.052,0.4387,100.4,102.6,0.5587,1233,2015
north carolina central,MEAC,0.6264,100.8,96.4,59.9,0.044,0.287,97.2,105.2,0.602,1300,2015
uc santa barbara,BW,0.626,106.4,101.8,62.6,-0.02,0.553,102.6,100.7,0.6451,1364,2015
marquette,BE,0.6204,101.7,97.4,64.2,-0.043,0.7058,107.5,99.6,0.4681,1266,2015
boston college,ACC,0.6169,105.6,101.4,63.7,-0.035,0.6663,105.3,99.1,0.3732,1130,2015
kent st.,MAC,0.6153,105.1,100.9,61.8,0.04,0.4902,102.7,103,0.3745,1245,2015
eastern kentucky,OVC,0.614,104.1,100,63.6,-0.037,0.4103,100.9,104.1,0.5,1184,2015
vermont,AE,0.6119,100.7,96.8,64,-0.135,0.3282,97.4,103.7,0.4816,1436,2015
california,P12,0.6072,101.5,97.7,66.2,0.061,0.6374,105.6,100.5,0.4248,1143,2015
oregon st.,P12,0.6059,96.8,93.3,61.1,0.014,0.5993,104.8,101.2,0.321,1333,2015
utah st.,MWC,0.6024,105.8,102,64,-0.022,0.4871,101.3,101.8,0.4562,1429,2015
northwestern,B10,0.5985,105.9,102.3,60.4,0.009,0.6585,106.4,100.5,0.3826,1321,2015
northeastern,CAA,0.598,106,102.4,63.7,0.037,0.4609,102.1,103.5,0.5574,1318,2015
uab,CUSA,0.5979,103.8,100.3,65,0.011,0.5003,101.5,101.5,0.5935,1412,2015
hawaii,BW,0.5933,102.9,99.5,69.7,-0.009,0.4514,101.4,103.2,0.3807,1218,2015
washington,P12,0.5932,106.4,103,65.6,-0.002,0.5888,103.2,100,0.3152,1449,2015
hofstra,CAA,0.5909,108.9,105.4,69.2,-0.1,0.3814,100.5,104.8,0.348,1220,2015
portland,WCC,0.5906,107.2,103.8,64.6,-0.026,0.5697,104.5,102,0.3893,1339,2015
