Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
lipscomb,ASun,-8.19,102.3,110.5,69.1,0.013,-2.92,101.7,104.6,3.16,1252,2022
tennessee st.,OVC,-8.33,98.4,106.7,67.4,-0.054,-6.53,98.8,105.3,-7.88,1398,2022
presbyterian,BSth,-8.44,96.5,104.9,64,-0.044,-2.97,101.9,104.8,3.86,1342,2022
alcorn st.,SWAC,-8.46,97.2,105.7,67.7,0.136,-4.32,99.4,103.7,14.35,1108,2022
manhattan,MAAC,-8.55,100.2,108.8,68.5,0.097,-3.78,99.9,103.7,-6.24,1264,2022
cal st. bakersfield,BW,-8.58,98,106.6,64.3,-0.052,-1.43,101.3,102.7,1.37,0,2022
canisius,MAAC,-8.63,97.1,105.8,68.1,0.045,-1.83,101.9,103.8,0.47,1145,2022
north florida,ASun,-8.66,97.4,106,67.6,0.003,1.48,104.1,102.7,14.3,1316,2022
loyola md,Pat,-8.74,96.5,105.2,64.4,-0.037,-8.46,99.1,107.5,-4.87,1259,2022
fiu,CUSA,-8.77,97.5,106.3,66.6,0.05,-4.34,101.6,105.9,-10.75,1198,2022
dixie st.,WAC,-9.06,96,105,71.3,0.032,0.02,102.6,102.5,-1,0,2022
southeastern louisiana,Slnd,-9.09,103,112.1,70.6,0.125,-6.25,99.9,106.2,2.12,1368,2022
jackson st.,SWAC,-9.16,93.5,102.7,63.7,-0.002,-3.99,100.1,104.1,11.51,1238,2022
pepperdine,WCC,-9.21,97.9,107.1,69.8,-0.023,4.04,104.6,100.5,-0.18,1337,2022
usc upstate,BSth,-9.63,101,110.6,68.2,0.069,-3.96,100.5,104.5,3.79,1367,2022
san jose st.,MWC,-9.87,99.5,109.4,65.3,-0.007,5.14,105.3,100.2,-1.98,1363,2022
bowling green,MAC,-9.93,103.2,113.1,72.7,-0.011,-4.96,101.6,106.5,-7.94,1132,2022
prairie view a&m,SWAC,-9.95,97.3,107.2,70.2,-0.034,-2.86,100.2,103.1,17.42,1341,2022
duquesne,A10,-10.03,99,109,65.8,-0.047,1.74,103.4,101.6,-3.81,1182,2022
hartford,AE,-10.13,101.3,111.4,67.1,-0.05,-7.57,99.2,106.7,-4.98,1216,2022
north carolina central,MEAC,-10.32,96.8,107.1,67.5,0.044,-5.91,97.8,103.7,2.1,1300,2022
pacific,WCC,-10.41,95.4,105.9,68.1,-0.048,0.52,103.9,103.4,-2.72,1334,2022
illinois chicago,Horz,-10.49,99.6,110.1,69.1,0.059,-7.11,99.3,106.4,1.19,0,2022
denver,Sum,-10.53,100.3,110.8,66.3,-0.046,-4.76,102.5,107.3,-4.17,1176,2022
austin peay,OVC,-10.61,95.1,105.7,64.5,0.066,-1.65,101.1,102.8,6.7,1122,2022
radford,BSth,-10.63,95.3,106,64,0.023,-3.43,101,104.4,5.37,1347,2022
albany,AE,-10.64,92.3,103,65,0.042,-5.97,100.4,106.4,-0.62,1107,2022
morgan st.,MEAC,-10.83,95.2,106.1,71.7,-0.008,-7.04,97,104,2.33,1288,2022
binghamton,AE,-10.89,95,105.9,67,-0.004,-6.32,100.7,107,-2.86,1127,2022
northern illinois,MAC,-10.97,93.1,104.1,66.9,0.001,-2.25,102.8,105.1,1.26,1296,2022
north carolina a&t,BSth,-11.05,96.9,107.9,67.3,0.023,-3.18,100.7,103.8,2.96,1299,2022
siu edwardsville,OVC,-11.11,94.5,105.6,68.4,-0.024,-3.79,101,104.8,-1.24,1188,2022
army,Pat,-11.21,96.6,107.8,68.7,0.025,-8.23,98.9,107.1,-3.86,1119,2022
western carolina,SC,-11.35,99.1,110.5,68.1,0.074,-0.35,105.3,105.6,-2.79,1441,2022
ut rio grande valley,WAC,-11.49,100.2,111.7,71.7,-0.071,-0.91,101,101.9,0.24,0,2022
merrimack,NEC,-11.54,94.4,106,62.1,0.06,-7.34,99.3,106.7,-1.5,1467,2022
coppin st.,MEAC,-11.71,92.1,103.8,72.1,-0.017,-3.06,100.3,103.3,5.45,1164,2022
st. thomas,Sum,-12.02,107.1,119.1,65.2,-0.084,-4.14,102.5,106.6,-1.84,0,2022
lehigh,Pat,-12.16,98.2,110.4,68,-0.015,-8.51,98.3,106.8,-5.33,1250,2022
cal poly,BW,-12.25,93.4,105.7,64.5,-0.034,-2.57,100.8,103.4,-2.06,1142,2022
grambling st.,SWAC,-12.34,93.8,106.2,69.2,0.034,-4.18,99,103.1,10.48,1212,2022
tennessee martin,OVC,-12.35,96.5,108.8,68.8,-0.041,-1.6,101.6,103.2,4.23,0,2022
stetson,ASun,-12.53,96.7,109.2,65.6,-0.009,-3.8,102.1,105.9,-0.9,1391,2022
south carolina st.,MEAC,-12.59,93.4,106,69.9,0.074,-8.28,97.7,106,-4.79,1354,2022
maryland eastern shore,MEAC,-12.67,91,103.7,67.5,0.018,-5.69,98.3,104,5.28,0,2022
florida a&m,SWAC,-12.79,95,107.8,65.4,0.097,-6.01,98.4,104.4,9.05,1197,2022
mcneese st.,Slnd,-12.88,97.9,110.7,69.6,-0.042,-5.07,100.6,105.7,5.17,1270,2022
utsa,CUSA,-13.05,94.6,107.7,68.6,-0.02,-1.79,101.9,103.7,-7.63,1427,2022
alabama st.,SWAC,-13.24,97.2,110.5,69.3,-0.002,-5.81,98.6,104.5,10.67,1106,2022
eastern michigan,MAC,-13.26,94.1,107.4,69.1,0.025,-2.94,102.3,105.3,0.83,1185,2022
central michigan,MAC,-13.33,96.6,110,67.4,-0.001,-1.06,103.9,104.9,3.43,1141,2022
sacramento st.,BSky,-13.48,95.4,108.9,64.1,0.008,-5.51,101.6,107.1,1.6,1170,2022
alabama a&m,SWAC,-13.5,87.6,101.1,66.5,0.034,-8.22,98.1,106.3,2.68,1105,2022
north alabama,ASun,-13.6,90.4,104,67.6,-0.064,-3.14,102.8,105.9,3.98,1466,2022
evansville,MVC,-13.85,93,106.8,64,-0.065,2.7,104.7,102,-2.23,1191,2022
central arkansas,ASun,-14.11,98.9,113,71.8,0.098,-0.86,103.4,104.3,8.79,1146,2022
sacred heart,NEC,-14.28,101.4,115.7,67.3,-0.027,-8.5,98.1,106.6,-5.41,1357,2022
st. francis ny,NEC,-14.31,94.9,109.2,66.5,-0.037,-7.63,98.8,106.4,-1.75,0,2022
idaho,BSky,-14.37,99.5,113.9,69.9,-0.028,-4.47,101.3,105.8,2.72,1225,2022
lafayette,Pat,-14.5,97.3,111.8,64.6,-0.041,-7.68,100.5,108.1,-0.18,1248,2022
st. francis pa,NEC,-14.61,95.3,109.9,67.2,-0.075,-7.22,99.8,107,-1.75,0,2022
little rock,SB,-14.69,97.2,111.9,66.6,0.075,0.54,102.8,102.3,4.59,1114,2022
western michigan,MAC,-14.87,97.2,112.1,63.9,-0.024,-1.88,103.9,105.7,4.86,1444,2022
robert morris,Horz,-15.22,98.6,113.8,66.6,-0.067,-6.1,100.7,106.7,3.1,1352,2022
hampton,BSth,-15.3,90.7,106,69,0.07,-5.46,99.2,104.6,-2.68,1214,2022
northwestern st.,Slnd,-15.31,98.5,113.8,71.1,-0.06,-4.22,101.2,105.4,6.7,1322,2022
cal st. northridge,BW,-15.73,94.4,110.1,64.9,0.029,-0.89,101.5,102.4,1.32,1169,2022
american,Pat,-16.28,94.5,110.8,64.8,0.003,-7.38,99.6,107,-3.8,1110,2022
northern arizona,BSky,-16.67,95.9,112.5,65,0.007,-4.66,102,106.6,0.99,1319,2022
bethune cookman,SWAC,-16.74,93.2,110,65.7,0.039,-6.46,98,104.5,3.4,0,2022
milwaukee,Horz,-17.04,91.9,109,66.8,-0.047,-7.88,99.7,107.6,-3.24,1454,2022
houston baptist,Slnd,-17.08,95.4,112.4,68.7,-0.002,-8.33,100.1,108.4,-0.86,1223,2022
bucknell,Pat,-17.22,100.1,117.3,67.5,0.039,-6.14,100.6,106.8,-1.53,1137,2022
idaho st.,BSky,-17.32,94.2,111.5,63.8,-0.038,-4.44,101.3,105.8,2.21,1226,2022
chicago st.,WAC,-17.37,95.7,113.1,65.5,0.04,-1.45,101,102.4,-4.57,1152,2022
southern miss,CUSA,-17.77,94.2,112,67,0.034,0.13,103,102.9,-1.02,1379,2022
william & mary,CAA,-17.91,90.1,108,68.7,0.015,-1.41,102.6,104,-1.86,1456,2022
nebraska omaha,Sum,-18.14,98.2,116.3,69.8,-0.055,-1.37,105,106.4,3.99,1303,2022
njit,AE,-18.44,89.6,108,65.9,0.092,-6.88,100.2,107.1,-6.44,1312,2022
green bay,Horz,-18.53,92.1,110.6,64.6,-0.116,-6.21,100.3,106.5,3.26,1453,2022
north dakota,Sum,-19.44,96.9,116.4,67.2,-0.02,-4.89,102.7,107.6,-5.45,1315,2022
central connecticut,NEC,-19.81,91.6,111.4,64.5,0.032,-6.23,100,106.2,-1.52,1148,2022
fairleigh dickinson,NEC,-19.83,95,114.8,69.5,-0.051,-5.23,100.1,105.4,5.54,1192,2022
lamar,WAC,-19.9,92.4,112.3,66,-0.065,-1.33,101.2,102.5,-0.68,1249,2022
holy cross,Pat,-20.19,91.3,111.5,67,0.059,-8.02,99.2,107.3,-4.1,1221,2022
charleston southern,BSth,-20.51,92.3,112.8,68.8,-0.002,-4.04,100.5,104.6,0.36,1149,2022
columbia,Ivy,-21.14,93.3,114.5,69.4,-0.004,-4.02,101.2,105.2,-7.9,1162,2022
arkansas pine bluff,SWAC,-21.49,98,119.4,67,0.009,-3.5,99.2,102.7,12.58,0,2022
incarnate word,Slnd,-21.85,95,116.8,64.6,-0.008,-6.03,100.8,106.8,1.4,1230,2022
maine,AE,-22.2,92.4,114.6,66.1,-0.048,-5.62,100.1,105.7,1.51,1263,2022
mississippi valley st.,SWAC,-22.56,92.9,115.4,70.7,-0.1,-6.03,98.2,104.3,5.28,0,2022
delaware st.,MEAC,-24.3,86.3,110.6,68.3,-0.118,-5.84,98.5,104.3,-0.95,1175,2022
eastern illinois,OVC,-25.38,83.5,108.9,64.6,0,-2.9,101.1,104,-1.53,1183,2022
iupui,Horz,-31.57,79.5,111.1,62.3,-0.055,-7.56,100,107.6,-4.19,1237,2022
