Team,Conf,AdjEM,AdjO,AdjD,AdjTempo,Luck,SOSAdjEM,SOSOppO,SOSOppD,NCSOSAdjEM,TeamID,Season
missouri st.,MVC,12.28,113.6,101.3,66.8,-0.045,0.84,104,103.2,-2.35,1283,2022
saint louis,A10,12.19,109.9,97.7,67.7,-0.017,3.49,104.9,101.4,2.78,1387,2022
vanderbilt,SEC,12.1,106.8,94.7,67.8,-0.061,8.9,107.5,98.6,-0.52,1435,2022
kansas st.,B12,12,109.4,97.4,66.5,-0.092,11.31,107.5,96.1,-3.93,1243,2022
vcu,A10,11.87,100,88.1,68.3,0.071,5.34,106.1,100.7,5.34,1433,2022
santa clara,WCC,11.76,113.4,101.7,70.7,-0.012,2.51,103.1,100.6,-1.23,1365,2022
fresno st.,MWC,11.68,105.1,93.4,60.8,-0.077,3.4,104,100.6,-3.41,1201,2022
colorado,P12,11.46,106.9,95.4,67.2,0.052,5.44,105.9,100.5,-7.12,1160,2022
south dakota st.,Sum,11.44,116.8,105.3,69.4,0.061,-3.92,103.3,107.2,4.27,1355,2022
chattanooga,SC,11.27,110,98.8,64.6,0.024,0.15,105.1,104.9,1.73,1151,2022
west virginia,B12,11.06,108,97,67.9,-0.001,12.12,108.5,96.4,-0.23,1452,2022
rutgers,B10,10.86,106.4,95.5,64.9,0.016,8.01,108.5,100.5,-10.28,1353,2022
furman,SC,10.85,113.9,103.1,64.7,-0.072,-0.09,104.3,104.4,1,1202,2022
syracuse,ACC,10.53,115.1,104.6,67.5,-0.065,7.56,107.3,99.8,3.52,1393,2022
towson,CAA,10.5,110,99.5,64.4,-0.009,-2.84,101.4,104.2,-1.47,1406,2022
clemson,ACC,10.39,110,99.6,66.2,-0.083,6.08,106.8,100.7,-0.3,1155,2022
oregon,P12,10.24,109.8,99.5,67.9,0.01,7.18,106.4,99.2,3.74,1332,2022
maryland,B10,10.12,109.5,99.4,66.5,-0.035,9.35,108.9,99.6,-0.57,1268,2022
new mexico st.,WAC,10.1,107.8,97.7,66.2,0.099,0.7,102.3,101.6,4.14,1308,2022
belmont,OVC,10.01,108.6,98.6,68.8,0.077,-2.11,101.7,103.8,5.55,1125,2022
richmond,A10,9.82,109.1,99.3,66.9,0.029,4.41,105,100.6,2.84,1350,2022
virginia,ACC,9.81,107,97.2,59.2,0.019,5.84,107.2,101.3,-4.11,1438,2022
drake,MVC,9.79,108.4,98.6,66.1,0.012,1.65,104.5,102.8,-3.91,1179,2022
unlv,MWC,9.53,108.1,98.5,66.2,-0.02,5.17,104.8,99.6,1.63,1424,2022
northwestern,B10,9.45,106.7,97.2,67.6,-0.077,8.17,108.3,100.2,-10.87,1321,2022
st. bonaventure,A10,9.43,108.2,98.8,65.6,0.089,3.53,104.1,100.6,1.88,1382,2022
penn st.,B10,9.34,105.3,96,61.9,-0.037,9.68,109.9,100.2,-2.89,1336,2022
toledo,MAC,9.33,111.3,101.9,68.7,0.035,-3.79,102.2,106,2.42,1405,2022
northern iowa,MVC,8.48,110.3,101.9,67.1,0.034,3.85,104.9,101,4.64,1320,2022
bradley,MVC,8.44,105.1,96.7,67.1,-0.09,1.9,104.3,102.4,-1.72,1133,2022
grand canyon,WAC,8.37,104.9,96.5,65.3,0.009,-3.03,100.2,103.3,-6.42,1213,2022
iona,MAAC,8.19,107.6,99.5,68.9,0.003,-1.88,101.4,103.3,4.04,1233,2022
arizona st.,P12,8.16,101.4,93.2,67.2,0.005,10.22,107.9,97.7,8.89,1113,2022
wichita st.,Amer,8.03,104.2,96.1,66.8,-0.037,4.86,104.9,100,2.28,1455,2022
south carolina,SEC,7.54,101.7,94.1,70.4,0.105,9.14,108,98.8,-0.33,1376,2022
louisiana tech,CUSA,7.53,106,98.4,68.4,0.025,-0.07,103.3,103.3,0.9,1256,2022
tulane,Amer,7.53,108.8,101.3,67.8,-0.067,4.7,104.6,99.9,-1.97,1408,2022
middle tennessee,CUSA,7.14,105.6,98.4,67.5,-0.006,-1.07,102.8,103.9,-0.97,1292,2022
cincinnati,Amer,7.04,104.5,97.4,67.4,-0.051,2.95,103.8,100.8,-5.36,1153,2022
depaul,BE,6.73,107,100.3,68.7,-0.025,6.89,106.3,99.4,-7.42,1177,2022
stanford,P12,6.36,105.5,99.1,65.7,0.075,9.2,107.3,98.2,2.07,1390,2022
princeton,Ivy,6.09,111.7,105.6,66.7,0.045,-4.6,101.2,105.8,-4.97,1343,2022
mississippi,SEC,6.01,105.9,99.9,65.1,-0.07,7.67,106.5,98.9,-1.82,1279,2022
ucf,Amer,5.94,106.6,100.6,67.3,0.054,3.64,103.6,100,-3.7,1416,2022
washington,P12,5.41,104.3,98.9,69.4,0.078,6.32,106.4,100.1,-1.73,1449,2022
nevada,MWC,5.37,107.1,101.7,70.1,-0.035,8,107,99,4.76,1305,2022
florida st.,ACC,5.34,105,99.6,67.7,0.075,7.35,109.1,101.7,0.42,1199,2022
minnesota,B10,5.31,107.3,102,65,0.006,9.26,108.2,99,-3.4,1278,2022
wofford,SC,5.02,106.6,101.5,64.1,-0.031,-0.01,104.8,104.8,-0.2,1459,2022
stephen f. austin,WAC,4.94,103,98.1,68.9,0.036,-1.36,102.3,103.7,3.46,1372,2022
western kentucky,CUSA,4.88,106.8,101.9,68.5,-0.033,-0.98,102.5,103.5,-1.12,1443,2022
morehead st.,OVC,4.72,103.9,99.2,64.7,0.024,-2.47,101.1,103.6,4.14,1287,2022
george mason,A10,4.7,106,101.3,64.7,-0.108,1.98,104.2,102.2,-0.96,1206,2022
utah valley,WAC,4.62,103,98.4,65.7,-0.011,-0.58,101.9,102.5,2.87,1430,2022
temple,Amer,4.3,102.2,97.9,66.2,0.083,3.84,104.3,100.4,-1.53,1396,2022
saint peter's,MAAC,4.28,98.8,94.5,66,-0.016,-2.78,101.3,104.1,3.72,1389,2022
colgate,Pat,4.22,108.3,104.1,67.3,-0.07,-7.96,99.2,107.2,1.8,1159,2022
southern illinois,MVC,4.06,102.9,98.9,62,-0.071,0.81,103.4,102.6,-5.39,1356,2022
utah,P12,3.95,107.6,103.7,66.1,-0.121,6.44,105.7,99.2,-1.16,1428,2022
florida atlantic,CUSA,3.9,106.3,102.4,67.2,-0.095,-2.78,101.6,104.4,-6.64,1194,2022
ohio,MAC,3.86,104.5,100.6,67.4,0.037,-5.72,101,106.7,-4.45,1325,2022
liberty,ASun,3.84,105.2,101.3,65.2,-0.034,-4.82,101,105.8,-0.28,1251,2022
montana st.,BSky,3.81,104.5,100.7,67.3,0.031,-6.2,101.9,108.1,-0.52,1286,2022
butler,BE,3.72,102.6,98.9,63.8,0.008,10.57,108.5,97.9,2.06,1139,2022
buffalo,MAC,3.66,107.3,103.6,70.9,-0.033,-2.91,102.2,105.1,5.51,1138,2022
uc irvine,BW,3.64,99.8,96.1,65.1,-0.005,0.55,102.8,102.2,6.96,1414,2022
abilene christian,WAC,3.63,103,99.4,69.9,0.028,-2.26,100.8,103.1,-2.53,1101,2022
