Team,Record,BRRtg,TeamID,Season
florida atlantic,16-14,0.06,1194,2022
cleveland state,18-10,0.06,1156,2022
university of california,12-20,0.05,1143,2022
fordham,16-16,0.04,1200,2022
rhode island,14-16,0.04,1348,2022
navy,20-11,0.04,1298,2022
oral roberts,16-12,0.03,1331,2022
northern colorado,18-14,0.01,1294,2022
drexel,14-14,0.01,1180,2022
south dakota,17-12,0,1377,2022
coastal carolina,12-13,0,1157,2022
ucsb,15-11,-0.02,1364,2022
james madison,13-14,-0.03,1241,2022
pitt,11-21,-0.03,1338,2022
southern illinois,15-15,-0.03,1356,2022
etsu,13-17,-0.04,1190,2022
mercer,14-17,-0.04,1273,2022
utah,11-20,-0.05,1428,2022
wright state,20-13,-0.05,1460,2022
nebraska,10-22,-0.05,1304,2022
boston college,13-20,-0.06,1130,2022
ipfw,19-11,-0.07,1236,2022
virginia military institute,13-15,-0.09,1440,2022
san diego,13-16,-0.1,1360,2022
north carolina state,11-21,-0.1,1301,2022
cornell,13-11,-0.11,1165,2022
nicholls state,17-11,-0.11,1311,2022
stony brook,17-13,-0.11,1392,2022
siena,15-14,-0.11,1373,2022
rice,14-16,-0.12,1349,2022
northern kentucky,18-12,-0.13,1297,2022
louisiana-lafayette,14-15,-0.13,1418,2022
umkc,15-12,-0.15,1282,2022
georgia tech,11-20,-0.15,1210,2022
boston university,20-12,-0.17,1131,2022
gardner-webb,15-13,-0.17,1205,2022
loyola marymount,10-18,-0.18,1258,2022
uc-davis,12-10,-0.19,1413,2022
texas southern,18-12,-0.21,1411,2022
air force,11-18,-0.24,1102,2022
umbc,17-14,-0.25,1420,2022
st. joseph's,11-19,-0.25,1386,2022
eastern washington,16-15,-0.25,1186,2022
tulsa,11-20,-0.25,1409,2022
california baptist,15-15,-0.26,1465,2022
old dominion,12-19,-0.27,1330,2022
penn,12-16,-0.28,1335,2022
manhattan,14-15,-0.29,1264,2022
george washington,12-18,-0.3,1203,2022
niagara,13-16,-0.31,1310,2022
texas a&m-corpus christi,19-11,-0.31,1394,2022
montana,15-14,-0.34,1285,2022
marist,14-16,-0.35,1265,2022
valparaiso,12-18,-0.39,1434,2022
southeastern louisiana,15-14,-0.4,1368,2022
la salle,11-19,-0.41,1247,2022
tarleton state,11-17,-0.42,0,2022
fairfield,14-18,-0.43,1193,2022
liu-brooklyn,15-14,-0.43,1254,2022
brown,11-16,-0.44,1135,2022
campbell,13-13,-0.44,1144,2022
citadel,10-18,-0.45,1154,2022
alcorn state,17-16,-0.45,1108,2022
western illinois,14-15,-0.46,1442,2022
quinnipiac,13-17,-0.46,1346,2022
rider,13-19,-0.47,1351,2022
ball state,13-17,-0.47,1123,2022
harvard,10-13,-0.48,1217,2022
florida international,13-17,-0.48,1198,2022
detroit,13-15,-0.48,1178,2022
north carolina-asheville,13-14,-0.48,1421,2022
new orleans,15-13,-0.49,1309,2022
southern,15-14,-0.49,1380,2022
georgia southern,10-16,-0.5,1204,2022
texas-arlington,9-18,-0.5,1426,2022
new hampshire,13-13,-0.5,1306,2022
georgetown,6-25,-0.51,1207,2022
youngstown state,16-14,-0.51,1464,2022
dixie state,9-18,-0.52,0,2022
marshall,10-21,-0.52,1267,2022
illinois state,11-20,-0.53,1229,2022
south carolina upstate,12-16,-0.53,1367,2022
western carolina,10-21,-0.58,1441,2022
uc-san diego,11-16,-0.58,0,2022
georgia,6-26,-0.58,1208,2022
louisiana-monroe,10-18,-0.59,1419,2022
south florida,8-23,-0.59,1378,2022
elon,8-22,-0.59,1189,2022
bowling green state,11-18,-0.63,1132,2022
san jose state,7-23,-0.63,1363,2022
canisius,10-21,-0.64,1145,2022
portland state,12-17,-0.66,1340,2022
miami (oh),11-18,-0.67,1275,2022
umass-lowell,12-16,-0.67,1262,2022
high point,11-18,-0.68,1219,2022
howard,13-13,-0.68,1224,2022
northeastern,9-22,-0.7,1318,2022
uic,13-16,-0.7,1227,2022
army,13-16,-0.71,1119,2022
southeast missouri state,12-18,-0.73,1369,2022
dartmouth,8-16,-0.73,1171,2022
merrimack,13-16,-0.73,1467,2022
lipscomb,11-19,-0.73,1252,2022
mount st. mary's,13-16,-0.75,1291,2022
albany (ny),13-18,-0.75,1107,2022
loyola (md),13-16,-0.76,1259,2022
kennesaw state,9-18,-0.76,1244,2022
indiana state,8-20,-0.76,1232,2022
north carolina central,12-15,-0.77,1300,2022
northern illinois,9-21,-0.78,1296,2022
north florida,8-20,-0.82,1316,2022
austin peay,10-17,-0.82,1122,2022
arkansas-little rock,6-19,-0.84,1114,2022
central arkansas,9-20,-0.85,1146,2022
eastern michigan,9-21,-0.87,1185,2022
binghamton,10-17,-0.9,1127,2022
south carolina state,12-16,-0.91,1354,2022
sacramento state,9-18,-0.91,1170,2022
radford,9-18,-0.91,1347,2022
lehigh,12-19,-0.91,1250,2022
presbyterian,9-20,-0.92,1342,2022
hartford,12-20,-0.92,1216,2022
morgan state,9-14,-0.92,1288,2022
duquesne,6-24,-0.93,1182,2022
florida a&m,11-17,-0.94,1197,2022
north carolina a&t,9-20,-0.95,1299,2022
denver,10-20,-0.97,1176,2022
pacific,6-22,-0.98,1334,2022
njit,10-18,-0.98,1312,2022
eastern kentucky,9-18,-0.99,1184,2022
jackson state,11-19,-0.99,1238,2022
pepperdine,6-25,-1,1337,2022
tennessee state,12-18,-1.01,1398,2022
cal state bakersfield,6-19,-1.01,1167,2022
tennessee tech,9-21,-1.04,1399,2022
central michigan,7-23,-1.04,1141,2022
maryland-eastern shore,8-15,-1.04,1271,2022
grambling,10-20,-1.09,1212,2022
oregon state,3-28,-1.09,1333,2022
utsa,7-21,-1.09,1427,2022
western michigan,6-22,-1.09,1444,2022
alabama a&m,12-18,-1.11,1105,2022
cal state northridge,6-22,-1.11,1169,2022
stetson,7-19,-1.13,1391,2022
idaho,7-22,-1.13,1225,2022
lafayette,9-20,-1.14,1248,2022
southern illinois-edwardsville,9-21,-1.14,1188,2022
coppin state,9-23,-1.15,1164,2022
prairie view,8-19,-1.16,1341,2022
cal poly,6-21,-1.18,1142,2022
bucknell,9-23,-1.22,1137,2022
hampton,7-19,-1.22,1214,2022
chicago state,7-25,-1.23,1152,2022
st. thomas (mn),7-20,-1.23,0,2022
american,10-22,-1.24,1110,2022
texas-rio grande valley,6-23,-1.26,1410,2022
northern arizona,7-23,-1.27,1319,2022
milwaukee,9-22,-1.27,1454,2022
houston baptist,7-18,-1.32,1223,2022
st. francis (ny),9-20,-1.33,1383,2022
southern miss,5-26,-1.33,1379,2022
sacred heart,9-20,-1.33,1357,2022
alabama state,9-21,-1.33,1106,2022
mcneese state,7-22,-1.34,1270,2022
bethune-cookman,8-21,-1.34,1126,2022
evansville,5-24,-1.36,1191,2022
ut-martin,6-22,-1.41,1404,2022
saint francis (pa),8-21,-1.42,1384,2022
holy cross,7-22,-1.43,1221,2022
northwestern state,6-23,-1.45,1322,2022
north alabama,5-21,-1.46,1466,2022
william & mary,4-27,-1.46,1456,2022
idaho state,5-23,-1.47,1226,2022
robert morris,7-24,-1.49,1352,2022
central connecticut,8-24,-1.49,1148,2022
nebraska-omaha,4-25,-1.59,1303,2022
incarnate word,5-24,-1.64,1230,2022
north dakota,4-25,-1.73,1315,2022
fairleigh dickinson,4-22,-1.78,1192,2022
arkansas-pine bluff,5-24,-1.79,1115,2022
columbia,3-22,-1.8,1162,2022
charleston southern,3-25,-1.84,1149,2022
maine,3-23,-1.87,1263,2022
green bay,4-25,-1.9,1453,2022
eastern illinois,3-26,-2.05,1183,2022
mississippi valley state,2-26,-2.36,1290,2022
iupui,1-26,-2.6,1237,2022
lamar,0-27,-2.6,1249,2022
delaware state,0-25,-2.68,1175,2022
