School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,Season,TeamID
robert morris,33,16,17,0.485,-5.65,-5.39,2287,2205,67.4,102.5,0.265,0.369,0.533,50.8,54.1,9.9,10.9,2023,1352
rutgers,34,19,15,0.559,14.73,7.47,2326,2079,66.1,102.6,0.282,0.302,0.51,51.8,59.1,13.1,12.4,2023,1353
sacramento state,32,14,18,0.438,-4.25,-1.22,2114,2169,63.3,102.3,0.279,0.359,0.533,54.6,56,6.9,6.8,2023,1170
sacred heart,33,16,17,0.485,-13.23,-11.35,2332,2351,70.4,99.7,0.276,0.365,0.515,49,51.4,11.1,8.7,2023,1357
saint francis (pa),31,13,18,0.419,-13.95,-9.81,2263,2286,69.2,105,0.32,0.36,0.558,49.4,52.9,6.4,5.3,2023,1384
saint joseph's,33,16,17,0.485,-0.26,-0.23,2388,2389,69.4,103.5,0.342,0.459,0.535,48.9,48.8,9.4,9.6,2023,1386
saint louis,33,21,12,0.636,6.29,3.1,2493,2348,69.9,108.1,0.292,0.327,0.556,53,59,7.2,10.8,2023,1387
saint mary's (ca),33,26,7,0.788,18.08,7.11,2355,1984,63.8,110.6,0.312,0.372,0.553,55.6,48.8,10.6,9.9,2023,1388
saint peter's,32,14,18,0.438,-9.95,-5.3,1986,2083,63.2,97.5,0.289,0.354,0.477,51.9,46.9,9.8,10.3,2023,1389
sam houston state,32,25,7,0.781,7.88,0.74,2341,1884,66.9,108.5,0.302,0.373,0.554,54.9,52,12.5,8.2,2023,1358
samford,32,21,11,0.656,0.64,-4.21,2519,2290,69.9,110.9,0.412,0.448,0.575,51.6,45,11.4,8.3,2023,1359
san diego,31,11,20,0.355,-1.62,3.72,2391,2495,70.4,108.6,0.312,0.367,0.553,48.8,46.9,9.4,5.2,2023,1360
san diego state,33,27,6,0.818,15.92,8.39,2378,2099,66.6,107.4,0.337,0.356,0.544,53.3,52.9,10.5,11.3,2023,1361
san francisco,34,20,14,0.588,6.5,4.14,2591,2496,70.4,107.4,0.322,0.489,0.569,51.3,49.4,9.5,6.7,2023,1362
san jose state,33,20,13,0.606,5.93,5.71,2228,2199,63.3,105.5,0.267,0.411,0.527,55.5,49.8,6.3,11.6,2023,1363
santa clara,32,23,9,0.719,9.17,5.49,2482,2355,71.4,107.4,0.301,0.367,0.55,53.3,49.9,8.3,10,2023,1365
seattle,32,20,12,0.625,1.13,0.9,2303,2209,70.8,101.3,0.325,0.445,0.511,51.3,48.5,8.6,8.2,2023,1370
seton hall,33,17,16,0.515,10.94,8.44,2256,2149,67.8,100.9,0.407,0.328,0.53,50.8,51.1,12.2,12.3,2023,1371
siena,32,17,15,0.531,-3.4,-4.78,2195,2151,66.6,101.8,0.345,0.345,0.533,51.9,53.4,8.4,10.6,2023,1373
south alabama,35,19,16,0.543,3.69,-0.37,2483,2282,66.7,106,0.22,0.378,0.552,47.7,41.8,9,10.4,2023,1375
south carolina,32,11,21,0.344,-1.86,6.42,2059,2324,65.1,97.3,0.268,0.409,0.495,49.3,47.7,7.4,7.1,2023,1376
south carolina state,31,5,26,0.161,-16.57,-3.97,2274,2599,73.7,98.7,0.29,0.339,0.505,48.8,51.9,9.7,8.8,2023,1354
south carolina upstate,31,16,15,0.516,-7.65,-4.06,2136,2158,68.4,100.4,0.329,0.35,0.542,47.3,47.2,10.8,12.8,2023,1367
south dakota,31,12,19,0.387,-9.42,-2.87,2149,2282,67,103.6,0.272,0.403,0.544,49.5,51,6.7,4.4,2023,1377
south dakota state,32,19,13,0.594,-1.35,-1.61,2270,2233,67.9,103.6,0.28,0.388,0.555,48.8,42,7.6,8.3,2023,1355
south florida,32,14,18,0.438,2.18,2.18,2303,2303,69.6,103,0.307,0.371,0.531,52.4,50.8,9.3,8.8,2023,1378
