School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,eFGPct,TOVPct,ORBPct,FT/FGA,Season,TeamID
butler,32,22,10,0.688,16.7,8.33,2226,1958,64.5,106.5,0.405,0.29,0.527,54.8,47.4,9.8,7.5,0.491,14.9,35.5,0.276,2015,1139
cal poly,29,13,16,0.448,-0.26,0.74,1752,1721,59.3,101,0.318,0.335,0.479,51,47.6,9.1,8.2,0.442,12.3,32.6,0.218,2015,1142
cal state bakersfield,33,14,19,0.424,-6.42,-5.82,2100,2028,61.1,102.1,0.393,0.325,0.52,53.8,59.7,9.2,5.1,0.474,17,34.2,0.284,2015,1167
cal state fullerton,31,9,22,0.29,-8.35,-0.84,1991,2155,65.6,96.7,0.368,0.309,0.5,50.7,43.7,7.6,5.3,0.461,16.6,29.2,0.253,2015,1168
cal state northridge,33,9,24,0.273,-6.44,0.56,2148,2325,65.9,98,0.418,0.193,0.514,50.4,59.9,8.2,8.9,0.456,17.4,29.7,0.32,2015,1169
california-davis,31,25,6,0.806,2.42,-2.96,2199,1991,63,111.3,0.385,0.386,0.61,49.7,55.1,8.1,6.6,0.581,19.1,28.5,0.281,2015,1413
california-irvine,33,21,12,0.636,3.51,0.15,2240,2056,63.9,105.5,0.3,0.302,0.545,51.1,56.6,8.9,13.2,0.52,15.8,30,0.205,2015,1414
california-riverside,31,14,17,0.452,-4.45,-0.96,2025,2050,65.2,99,0.35,0.357,0.513,51.2,56.4,10.2,10.2,0.479,17.5,31.3,0.239,2015,1415
california-santa barbara,32,19,13,0.594,4.08,1.38,2171,2021,62.5,106.6,0.314,0.328,0.535,50.9,63.5,8.1,9.8,0.499,14.9,31.6,0.232,2015,1364
california,33,18,15,0.545,5.64,6.43,2195,2221,66.3,99.6,0.304,0.276,0.513,50.6,50.2,6.2,9.4,0.489,14.7,26,0.197,2015,1143
campbell,32,10,22,0.313,-11.09,-5.26,2045,2124,63.3,100.6,0.361,0.445,0.528,48.4,59.4,11.1,10,0.505,17.4,28.5,0.226,2015,1144
canisius,30,16,14,0.533,-0.78,-2.71,1926,1868,63.8,99.8,0.317,0.361,0.496,50.1,62,10.4,9.2,0.458,15.8,34.1,0.225,2015,1145
central arkansas,29,2,27,0.069,-22.65,-5.75,1894,2384,71.3,91.6,0.393,0.365,0.524,45.8,55.9,8.8,11.8,0.488,22.8,28,0.266,2015,1146
central connecticut state,31,5,26,0.161,-16.39,-5.45,1834,2173,64,92.1,0.286,0.271,0.482,48.9,50.4,7.7,8.9,0.446,18.4,30.9,0.203,2015,1148
central florida,30,12,18,0.4,-5.51,1.01,1981,2153,64,100.7,0.356,0.356,0.523,47.5,52.4,7.9,12.3,0.497,17.2,30.7,0.229,2015,1416
central michigan,30,22,8,0.733,6.43,-0.82,2319,2034,65.8,116.9,0.37,0.486,0.588,49.9,53.1,10.4,8.9,0.556,13.4,30.1,0.271,2015,1141
charleston southern,30,19,11,0.633,-4.63,-5.74,2221,2065,66.7,109.2,0.343,0.453,0.532,52.6,50.8,10.4,6.9,0.5,14.2,34.3,0.236,2015,1149
charlotte,32,14,18,0.438,2.04,0.63,2362,2317,67.2,106.5,0.37,0.288,0.542,51.4,50.9,9.3,6.1,0.517,16.8,33.8,0.24,2015,1150
chattanooga,32,22,10,0.688,-1.52,-3.96,2325,2141,66.2,107.7,0.434,0.354,0.549,51,48.4,9.7,17.9,0.514,16.7,33.9,0.298,2015,1151
chicago state,32,8,24,0.25,-14.76,-2.49,1855,2115,64.4,89.6,0.294,0.369,0.466,49,44.8,12.9,8.4,0.433,19.3,34,0.196,2015,1152
cincinnati,32,22,10,0.688,10.64,3.54,1996,1769,59.4,103.8,0.378,0.306,0.535,53.9,53.1,10.9,15.8,0.504,18.2,37.3,0.255,2015,1153
citadel,30,11,19,0.367,-12.78,-4.55,1919,2058,60.3,105.3,0.38,0.359,0.566,49.8,60.9,7.7,7.2,0.522,19,32,0.292,2015,1154
clemson,31,16,15,0.516,8,7.46,1944,1927,62.7,99.1,0.344,0.339,0.496,51.5,47.9,8.6,13.3,0.46,15.8,34.1,0.234,2015,1155
cleveland state,31,17,14,0.548,2.79,-0.45,2047,1921,61.8,105.5,0.319,0.352,0.54,50.7,55,11.9,9.6,0.511,16.4,32.9,0.22,2015,1156
coastal carolina,33,24,9,0.727,-1.46,-7.28,2366,2035,65.2,109.9,0.418,0.337,0.536,56.1,46.5,10.8,9,0.499,15.3,37.9,0.287,2015,1157
colgate,32,15,17,0.469,-2.66,-3.16,2089,2073,60.2,106.4,0.274,0.385,0.579,48.9,54.7,8,8.7,0.559,17.1,23.6,0.19,2015,1159
college of charleston,33,9,24,0.273,-6.89,-0.92,1934,2131,61.7,94.2,0.324,0.337,0.491,47.4,46.2,8.9,8.5,0.459,16.9,27.6,0.214,2015,1158
colorado state,33,27,6,0.818,8.87,0.9,2378,2095,65.1,110.3,0.414,0.369,0.541,54.3,59.9,8.5,9.4,0.507,14,34.3,0.281,2015,1161
colorado,32,15,17,0.469,8.03,7.22,2193,2167,65.5,103.1,0.414,0.287,0.529,52.9,48.6,8.6,10.4,0.484,17.1,33.5,0.297,2015,1160
columbia,28,13,15,0.464,-0.13,-1.24,1816,1737,60.6,107,0.286,0.461,0.55,51.9,52.3,8.1,12.8,0.522,16.7,32.6,0.205,2015,1162
connecticut,34,20,14,0.588,8.67,4.29,2182,2033,61.8,103.5,0.332,0.351,0.533,50.9,51.9,7.5,15.5,0.5,16.2,30.4,0.234,2015,1163
coppin state,31,8,23,0.258,-17.69,-4.62,2219,2558,73.6,97.3,0.31,0.433,0.507,42.8,51.5,9.1,9.2,0.475,16.2,25.8,0.214,2015,1164
cornell,30,13,17,0.433,-3.39,-1.74,1868,1838,64.4,95.9,0.392,0.372,0.505,47.3,50.7,9.6,14.5,0.453,16.4,24.2,0.293,2015,1165
creighton,33,14,19,0.424,7.8,7.37,2221,2207,63.3,104.8,0.363,0.427,0.533,51.5,60.2,6.9,7.6,0.494,16,31.3,0.263,2015,1166
dartmouth,28,14,14,0.5,-2.53,-3.28,1763,1742,62.5,99.8,0.363,0.323,0.52,50.8,54.6,12,10.1,0.492,17.6,31.1,0.234,2015,1171
davidson,31,24,7,0.774,13.14,3.04,2477,2138,67.3,118.2,0.292,0.456,0.584,50.6,60.9,8.1,8.8,0.562,12.4,30.3,0.207,2015,1172
dayton,33,25,8,0.758,10.82,3.51,2251,2010,64.4,105.6,0.487,0.373,0.564,49.2,60.8,10.8,8.3,0.529,16.2,24.2,0.332,2015,1173
delaware state,35,18,17,0.514,-10.33,-6.81,2476,2529,69,102.1,0.318,0.379,0.523,51,49.1,7.1,10.9,0.488,16.7,32.2,0.226,2015,1175
delaware,30,10,20,0.333,-7.55,-1.49,1979,2161,65.7,99.1,0.381,0.35,0.509,48.7,55.7,6.4,10.1,0.471,16,28.8,0.261,2015,1174
denver,30,12,18,0.4,-4.01,-3.18,1865,1890,58.2,105.5,0.312,0.43,0.593,45.5,69.6,10.1,7.1,0.562,17.8,19.3,0.239,2015,1176
depaul,32,12,20,0.375,3.59,7.78,2220,2354,67.3,102.7,0.365,0.405,0.544,45.9,52.2,9.8,11.8,0.507,17.5,27.4,0.263,2015,1177
detroit mercy,33,15,18,0.455,-2.08,0.31,2334,2335,68.2,102.5,0.328,0.319,0.535,49.8,52.9,11.2,8.7,0.506,16.8,30.1,0.224,2015,1178
drake,31,9,22,0.29,-6.05,2.22,1844,2070,58.9,100.2,0.345,0.351,0.567,47.1,58.1,7.5,6.6,0.528,20.3,23.4,0.265,2015,1179
drexel,30,11,19,0.367,-5.39,-0.53,1787,1930,61.4,96.5,0.328,0.344,0.493,47.7,51.6,8.4,10.7,0.447,14.8,28,0.244,2015,1180
duke,33,29,4,0.879,24.14,9.11,2660,2164,66.6,120.1,0.402,0.345,0.594,54.5,54.2,10.7,10.1,0.569,14.4,37.4,0.278,2015,1181
duquesne,31,12,19,0.387,-2.68,1.65,2213,2303,67.2,105.9,0.323,0.371,0.537,50,58,7.6,9.2,0.518,15.7,32.3,0.202,2015,1182
east carolina,33,14,19,0.424,-2.59,1.25,2116,2176,63.1,101.3,0.317,0.373,0.518,47.6,59.1,10,5.7,0.488,15.8,29.8,0.216,2015,1187
east tennessee state,30,16,14,0.533,-4.74,-3.95,2201,2140,68.7,105.8,0.386,0.446,0.543,49.3,52.9,11.3,8.8,0.504,16,30.8,0.279,2015,1190
eastern illinois,31,17,14,0.548,-5.85,-2.85,1932,1962,62.3,99.3,0.336,0.374,0.529,45.9,58.1,8.9,13.3,0.505,16.8,24.7,0.217,2015,1183
eastern kentucky,30,19,11,0.633,0,-4.36,2157,1890,65.8,108.4,0.34,0.465,0.582,45,59.2,14.6,10.3,0.544,15.9,23.6,0.265,2015,1184
eastern michigan,34,21,13,0.618,2.77,0.47,2362,2159,66.7,103,0.422,0.377,0.517,49.6,45.8,12.8,13.1,0.47,15.1,31.7,0.301,2015,1185
eastern washington,34,26,8,0.765,0.61,-4.49,2746,2504,68.3,117.4,0.355,0.42,0.593,50.1,47.1,9.2,14.4,0.565,13.8,30,0.257,2015,1186
elon,33,15,18,0.455,-5.66,-2.44,2329,2329,69.5,100.5,0.365,0.359,0.521,48.4,48.8,9.2,3.7,0.486,16.6,28.8,0.249,2015,1189
evansville,31,19,12,0.613,2.74,0.27,2148,2003,65.3,104.9,0.448,0.229,0.564,50.5,64.3,8.5,9.4,0.518,17.5,26.9,0.334,2015,1191
fairfield,31,7,24,0.226,-8.55,-2.23,1845,2041,62.1,93.9,0.371,0.389,0.497,46.7,52.8,7.8,11.3,0.452,17.7,27.3,0.266,2015,1193
fairleigh dickinson,29,8,21,0.276,-12.02,-4.34,1956,2130,67.7,98.3,0.336,0.379,0.509,43.1,47.7,12.7,9.1,0.473,16.4,28.1,0.233,2015,1192
florida a&m,29,2,27,0.069,-25.86,-8.34,1607,2115,65.7,84.3,0.378,0.281,0.454,45.1,43,7.5,5.7,0.413,19.2,26.8,0.245,2015,1197
florida atlantic,29,9,20,0.31,-7.61,-1.87,1815,1934,64.2,97.1,0.286,0.391,0.511,47,45.6,6.7,10.4,0.485,17.3,26.9,0.193,2015,1194
florida gulf coast,32,22,10,0.688,-1.12,-4.6,2155,2010,64.8,103.5,0.322,0.308,0.513,52.1,57.1,8.6,9.9,0.483,15.4,34.6,0.216,2015,1195
florida international,33,16,17,0.485,-7.53,-2.98,2060,2153,65.4,94.3,0.382,0.287,0.515,49.7,49.9,10.3,12.4,0.487,19.9,29,0.243,2015,1198
florida state,33,17,16,0.515,7.02,7.36,2199,2210,65.7,100.6,0.469,0.282,0.539,50.9,49.8,8.3,13.1,0.501,19.2,31.8,0.314,2015,1199
florida,33,16,17,0.485,13.61,10,2101,1982,62.8,100.6,0.314,0.382,0.519,50.9,56.3,10.9,10.8,0.496,16.9,31.7,0.199,2015,1196
fordham,31,10,21,0.323,-1.87,3,2015,2144,66.3,97.6,0.326,0.358,0.509,52.2,54.9,10.1,10.8,0.47,18.7,34.2,0.237,2015,1200
fresno state,32,15,17,0.469,-1.89,1.64,2086,2123,64.3,100.1,0.391,0.33,0.52,47.6,46.3,12,10.1,0.481,15.3,27,0.27,2015,1201
furman,33,11,22,0.333,-10.46,-3.36,2098,2245,63.1,100,0.438,0.403,0.53,49.4,48.8,8.7,9.6,0.494,18.3,29.8,0.293,2015,1202
gardner-webb,34,20,14,0.588,-5.36,-3.46,2541,2508,68.4,107.7,0.381,0.402,0.545,50.5,62.5,9.6,6.9,0.517,15.4,31.6,0.253,2015,1205
george mason,31,9,22,0.29,-1.07,4.96,1996,2147,65.1,97.7,0.406,0.244,0.503,52.2,44.5,9.2,9.5,0.465,18.5,36,0.271,2015,1206
george washington,33,21,12,0.636,8.58,2.76,2217,2025,63.3,105,0.395,0.287,0.527,53.3,49.6,8.6,10.3,0.491,16.4,36.2,0.269,2015,1203
georgetown,31,21,10,0.677,16.06,9.99,2192,2004,64.7,107.6,0.441,0.316,0.549,52.1,54.4,11.8,13.5,0.509,16.6,34.3,0.31,2015,1207
georgia southern,31,22,9,0.71,-0.55,-4.87,2112,1865,65,104,0.349,0.419,0.513,51.3,49.2,11.1,9.7,0.482,15.2,34.2,0.233,2015,1204
georgia state,33,24,9,0.727,4.96,-3.23,2375,2053,64.8,109.8,0.39,0.277,0.564,49.5,52.7,13.9,10.7,0.526,14.5,30.4,0.283,2015,1209
georgia tech,31,12,19,0.387,7.42,8.71,1962,2002,63.9,97.4,0.311,0.273,0.475,55.2,49.3,8.8,7.9,0.444,16.1,38.7,0.202,2015,1210
georgia,32,21,11,0.656,12.85,8.7,2187,2054,64.7,103.2,0.478,0.313,0.533,52.9,55.4,8.4,13,0.489,16.8,32.3,0.329,2015,1208
gonzaga,34,32,2,0.941,21.9,4.78,2690,2071,65.1,121.1,0.391,0.32,0.611,55.3,57.7,9.5,9,0.589,14.2,34.2,0.27,2015,1211
grambling,29,2,27,0.069,-30.44,-7.77,1509,2105,65.7,79.2,0.412,0.258,0.445,47.3,43.9,8.1,4.9,0.398,22.5,29.9,0.268,2015,1212
grand canyon,31,17,14,0.548,-6.5,-5.47,2128,2113,64.3,106.7,0.411,0.354,0.551,47.4,51,8.2,9.2,0.513,15.4,27.4,0.292,2015,1213
green bay,32,24,8,0.75,6.14,-0.6,2196,1937,64.8,105.4,0.396,0.263,0.529,52.1,55.7,11.4,12.4,0.501,15.5,33.2,0.256,2015,1453
