School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,eFGPct,TOVPct,ORBPct,FT/FGA,Season,TeamID
idaho state,31,16,15,0.516,-9.64,-6.5,2297,2357,71.8,103.1,0.396,0.389,0.547,48.1,49.4,10.1,8,0.506,16.4,25.5,0.288,2016,1226
idaho,33,21,12,0.636,-4.73,-5.61,2309,2183,67.3,103.6,0.43,0.325,0.545,55.8,53.1,7.8,9.1,0.504,19,35.4,0.305,2016,1225
illinois-chicago,30,5,25,0.167,-14.53,-0.82,2019,2348,72.7,91.1,0.443,0.245,0.464,50.5,49.8,7.6,13,0.425,17.4,32.4,0.274,2016,1227
illinois state,32,18,14,0.563,3.32,2.51,2149,2114,67.7,98.8,0.32,0.385,0.508,50.3,53,9.4,10.5,0.478,16.1,29.7,0.214,2016,1229
illinois,34,15,19,0.441,4.8,7.44,2452,2542,68.6,102.6,0.305,0.383,0.537,46,53.7,8.3,5.2,0.502,13.6,21.5,0.227,2016,1228
incarnate word,29,17,12,0.586,-8.94,-5.94,2145,2140,71.2,103.4,0.375,0.376,0.551,47.7,59.6,9.6,6.8,0.505,16,22.9,0.287,2016,1230
indiana state,32,15,17,0.469,-0.04,2.12,2170,2222,70,95.7,0.42,0.38,0.496,50.4,47.6,8.1,7.2,0.45,16.4,27.5,0.291,2016,1232
indiana,32,25,7,0.781,19.81,6.44,2633,2205,68.7,119.2,0.333,0.409,0.61,55.3,54.7,10.1,10,0.586,16.8,37.6,0.241,2016,1231
iona,32,22,10,0.688,3.99,-1.95,2547,2357,72.3,109.7,0.325,0.442,0.567,49.6,60.7,10.4,10.7,0.538,15.5,29.4,0.232,2016,1233
iowa state,32,21,11,0.656,17.6,10.73,2619,2399,71.6,112.9,0.255,0.35,0.587,49.9,53,8.5,10.1,0.568,14.4,27.2,0.18,2016,1235
iowa,31,21,10,0.677,18.04,8.66,2421,2130,69.3,112.3,0.334,0.351,0.55,50.9,58,9.8,12.7,0.518,12.9,32.3,0.24,2016,1234
ipfw,33,24,9,0.727,0.61,-1.87,2646,2506,70.4,113.1,0.337,0.428,0.583,51.5,55.1,7.7,8.4,0.555,15.1,28.7,0.242,2016,1236
iupui,32,13,19,0.406,-5.66,0.31,2181,2362,70,96.6,0.327,0.295,0.508,49.1,45.2,9.4,6.3,0.472,16.7,27.6,0.23,2016,1237
jackson state,34,19,15,0.559,-8.61,-9.73,2320,2211,68.6,98.1,0.305,0.351,0.484,51.8,49.1,11.1,10.6,0.458,15,33.2,0.192,2016,1238
jacksonville state,31,8,23,0.258,-10.06,-3.75,2100,2234,66.6,101.3,0.316,0.396,0.509,46.1,52.3,7.6,8.4,0.47,13.9,27.6,0.232,2016,1240
jacksonville,32,16,16,0.5,-9.28,-6.03,2444,2431,72.3,104.8,0.322,0.36,0.534,50.4,46.4,8.9,7.6,0.506,14.2,27.5,0.219,2016,1239
james madison,32,21,11,0.656,6.45,0.77,2405,2197,67.9,108.6,0.369,0.419,0.554,52.4,48.9,6.3,9,0.524,15,29.4,0.253,2016,1241
kansas state,33,17,16,0.515,12.84,10.33,2334,2251,67.5,102.9,0.425,0.311,0.518,52.5,56.9,11,8,0.476,17.1,37,0.293,2016,1243
kansas,34,30,4,0.882,24.41,11.72,2773,2303,69.6,115.5,0.386,0.336,0.594,53.5,55.5,9.7,10.5,0.566,15.5,32.5,0.273,2016,1242
kennesaw state,31,11,20,0.355,-8.48,-1.51,2239,2399,70.5,102.1,0.342,0.278,0.527,47.1,46.6,9.8,8.3,0.493,16.2,28.9,0.24,2016,1244
kent state,32,19,13,0.594,-1.33,-1.27,2361,2317,68.1,107.5,0.398,0.301,0.531,52.9,44.7,7.7,8.9,0.495,14.7,34.6,0.272,2016,1245
kentucky,34,26,8,0.765,20.51,9.1,2709,2321,68,116,0.383,0.314,0.565,53.8,50.5,8.2,13.8,0.537,13.7,37.8,0.262,2016,1246
la salle,31,9,22,0.29,-6,4.73,1987,2279,67.2,95.4,0.305,0.446,0.508,44.9,56.2,10.4,8.2,0.48,17,25,0.204,2016,1247
lafayette,30,6,24,0.2,-14.8,-5.8,2142,2412,69.7,99.5,0.316,0.385,0.535,44.5,54.9,7.9,5.8,0.505,16.4,22.3,0.219,2016,1248
lamar,30,11,19,0.367,-14.51,-8.59,2263,2310,73.7,102.3,0.429,0.339,0.517,51,55.1,10.2,10.2,0.478,16.8,34.7,0.288,2016,1249
lehigh,32,17,15,0.531,-4.22,-4.99,2268,2210,67.2,105.4,0.318,0.34,0.554,50.9,58.9,9.9,9.2,0.523,17,29.5,0.231,2016,1250
liberty,32,13,19,0.406,-10.08,-3.39,2070,2188,64.9,99.7,0.264,0.471,0.559,47.5,56.8,8.6,4.3,0.535,19.6,22,0.189,2016,1251
lipscomb,33,12,21,0.364,-8.79,-3.76,2590,2689,73.8,104.8,0.345,0.457,0.552,48.6,61.8,8.4,8,0.522,16.5,27.1,0.239,2016,1252
long beach state,34,20,14,0.588,4.26,4.61,2511,2461,70.1,104.2,0.373,0.378,0.532,48.4,60,9.1,7.1,0.499,14.9,27.8,0.255,2016,1253
long island university,31,16,15,0.516,-11.45,-10.68,2362,2386,73,103.1,0.413,0.32,0.524,50.1,53.1,10.4,6.9,0.479,15.9,32.2,0.296,2016,1254
longwood,33,10,23,0.303,-11.12,-4.85,2397,2503,69.7,103.4,0.335,0.342,0.545,51.6,49,8.8,8.3,0.513,17.8,30.5,0.237,2016,1255
louisiana-lafayette,31,17,14,0.548,2.11,-1.86,2464,2265,71.7,110,0.429,0.343,0.537,55.7,46.3,9,8.8,0.497,15,37.8,0.299,2016,1418
louisiana-monroe,33,20,13,0.606,0.19,-1.16,2414,2302,66.7,107.2,0.334,0.325,0.547,51.4,53.9,8.1,9.1,0.518,15.7,32.3,0.233,2016,1419
louisiana state,33,19,14,0.576,9.22,7.44,2602,2543,72.9,107.3,0.43,0.312,0.543,50,55.4,10.8,7.1,0.511,14.2,29.8,0.286,2016,1261
louisiana tech,32,23,9,0.719,0.22,-4.42,2541,2307,72.5,107.4,0.421,0.354,0.549,50.2,50.5,10.1,10.6,0.518,14.8,28.9,0.281,2016,1256
louisville,31,23,8,0.742,21.8,7.96,2324,1895,66.4,112.9,0.318,0.29,0.546,54.7,48.4,10.8,14.2,0.519,14.4,38.5,0.22,2016,1257
loyola (il),32,15,17,0.469,-0.82,0.99,2059,2082,65.5,97.1,0.332,0.332,0.523,46.5,51.2,8.9,8.1,0.482,17.1,23.3,0.243,2016,1260
loyola marymount,31,14,17,0.452,-3.46,1.04,2208,2319,68,102.7,0.282,0.352,0.512,47.5,60.6,9.8,8.8,0.478,14.1,29.6,0.204,2016,1258
loyola (md),30,9,21,0.3,-10.55,-4.88,2090,2260,67.3,100.9,0.384,0.311,0.519,50.1,46.2,7.8,8.9,0.477,16.4,31.4,0.273,2016,1259
maine,30,8,22,0.267,-17.19,-6.29,2279,2606,77.7,96.5,0.32,0.353,0.518,46.5,52.5,10.5,7,0.492,18.3,27.9,0.21,2016,1263
manhattan,31,13,18,0.419,-7.08,-2.72,2133,2268,69,98.5,0.398,0.391,0.545,45.1,61.6,11,6.3,0.501,18.7,23.5,0.295,2016,1264
marist,30,7,23,0.233,-11.3,-4.13,2145,2360,69,101.9,0.359,0.424,0.535,45.9,48.4,6.6,7,0.494,15.5,24.3,0.263,2016,1265
marquette,33,20,13,0.606,7.53,5.44,2517,2448,72.3,103.8,0.405,0.303,0.559,50,60.3,10.6,10.1,0.52,17.9,28.1,0.294,2016,1266
marshall,33,17,16,0.515,0.97,-0.16,2838,2801,77.6,110,0.312,0.451,0.566,47.9,54.5,8.8,6.8,0.542,14.6,26.6,0.216,2016,1267
maryland-baltimore county,32,7,25,0.219,-15.18,-6.68,2307,2579,70.7,101.1,0.422,0.365,0.537,47.1,49.9,9.8,4.9,0.501,15.8,24.9,0.288,2016,1420
maryland-eastern shore,32,10,22,0.313,-13.95,-5.88,2178,2399,68.4,98.3,0.378,0.356,0.538,51.4,53.1,8.5,6.8,0.501,20.7,31.4,0.268,2016,1271
maryland,33,25,8,0.758,17.39,8.27,2510,2187,67.2,112.7,0.372,0.375,0.595,52.6,52.6,8.7,14,0.559,17.1,29.8,0.282,2016,1268
massachusetts-lowell,29,11,18,0.379,-13.44,-6.01,2221,2401,74.3,102.3,0.326,0.387,0.564,46.6,53.3,9.4,6.2,0.54,18.9,25,0.223,2016,1262
massachusetts,32,14,18,0.438,0.74,3.06,2353,2427,71.7,100.9,0.365,0.373,0.527,47.9,54.2,8.9,9.1,0.491,15.6,25.9,0.255,2016,1269
mcneese state,29,9,20,0.31,-14.99,-6.49,2083,2301,70.5,99.7,0.359,0.352,0.508,47.3,46,8.2,10.2,0.469,15.4,28.5,0.251,2016,1270
memphis,34,19,15,0.559,10.15,3.88,2603,2390,73.6,103.3,0.419,0.299,0.511,51.4,58.2,10.4,13.3,0.461,14.1,32.5,0.303,2016,1272
mercer,33,19,14,0.576,-2.53,-4.27,2389,2274,65.6,107.9,0.352,0.311,0.54,56.1,57.8,7.5,8,0.502,16,37.3,0.256,2016,1273
miami (fl),32,25,7,0.781,19.32,10.51,2420,2138,66.3,113.7,0.4,0.341,0.579,51.9,49,9.1,9,0.539,14.2,30.2,0.3,2016,1274
miami (oh),33,13,20,0.394,-5.69,-0.03,2089,2249,65.5,96.6,0.363,0.327,0.5,48,46.7,10.1,7.2,0.454,16.2,28.2,0.264,2016,1275
michigan state,34,29,5,0.853,23.8,7.42,2712,2155,66.9,118.4,0.3,0.353,0.586,58.1,71.4,6.6,13.2,0.56,14.9,37.2,0.219,2016,1277
michigan,34,22,12,0.647,14.36,8.11,2526,2294,65.9,112.4,0.285,0.441,0.578,49.3,56.7,8.4,6.2,0.551,13.3,24.5,0.21,2016,1276
middle tennessee,33,24,9,0.727,2.26,-1.84,2399,2254,69.3,104.5,0.362,0.354,0.538,51.6,50.3,8.9,9.8,0.519,15.2,28.7,0.223,2016,1292
milwaukee,33,20,13,0.606,2.93,-1.97,2618,2391,68.5,113.6,0.373,0.437,0.577,51.7,64.4,6.5,6.4,0.536,13.9,28,0.287,2016,1454
minnesota,31,8,23,0.258,1.26,7.26,2108,2294,68.4,98.2,0.371,0.345,0.502,47.7,52.3,7.9,9.5,0.459,14.6,26.5,0.263,2016,1278
mississippi state,31,14,17,0.452,8.61,6.45,2323,2256,70.2,106.4,0.295,0.362,0.547,48.9,50.7,9.2,10.9,0.517,15.7,29.7,0.214,2016,1280
mississippi valley state,35,8,27,0.229,-19.65,-7.91,2293,2704,71.3,90.3,0.313,0.277,0.469,45.7,45.2,9.5,6.2,0.43,16.2,27.1,0.217,2016,1290
mississippi,32,20,12,0.625,8.3,5.2,2405,2306,70,106.5,0.413,0.389,0.525,51.3,51.8,10.7,8.9,0.481,14.6,34.6,0.293,2016,1279
missouri-kansas city,31,12,19,0.387,-6.06,-1.98,2152,2240,67.7,102.1,0.381,0.338,0.524,50.4,46.9,8.6,9.3,0.491,16.9,32.7,0.257,2016,1282
missouri state,32,13,19,0.406,-3.58,2.52,2153,2321,69.1,96.6,0.392,0.293,0.499,49.5,51.9,8.9,11,0.46,16.1,28.2,0.265,2016,1283
missouri,31,10,21,0.323,2.94,7.33,2126,2262,69.3,98.9,0.396,0.325,0.515,49,49.5,7.9,7.4,0.472,16,26.8,0.281,2016,1281
monmouth,34,27,7,0.794,5.92,-1.81,2700,2437,73.8,106.9,0.392,0.348,0.549,49.8,46.1,11.2,10,0.501,14.8,28.9,0.3,2016,1284
montana state,31,14,17,0.452,-6.85,-5.28,2369,2411,70.1,108.6,0.312,0.416,0.538,51.6,47.2,6.8,5.6,0.511,14.7,33.1,0.214,2016,1286
montana,32,21,11,0.656,-0.53,-4.36,2318,2146,67.1,107.1,0.372,0.376,0.563,52.2,53.1,7.8,7.6,0.533,16.2,28.3,0.258,2016,1285
morehead state,31,19,12,0.613,0.61,-2.29,2243,2084,66.5,108,0.36,0.272,0.525,54,55.2,11.8,7.5,0.49,15.8,39.5,0.249,2016,1287
morgan state,31,9,22,0.29,-12.22,-7.62,2089,2223,69.1,96.7,0.362,0.289,0.481,47.5,47.5,8.7,5.7,0.439,14.6,30.9,0.248,2016,1288
mount st. mary's,33,14,19,0.424,-9.58,-7.64,2218,2282,69.7,95.4,0.306,0.362,0.492,44,45.8,10.7,9.5,0.458,15.2,25.3,0.211,2016,1291
murray state,31,17,14,0.548,-1.48,-2.96,2212,2093,65.6,108.3,0.362,0.367,0.557,51.2,57.8,9.1,6.3,0.521,15.7,30.1,0.262,2016,1293
navy,33,19,14,0.576,-4.73,-6.79,2230,2135,64.9,102.5,0.423,0.265,0.525,53.5,55.7,8.6,12.5,0.495,17.1,33.7,0.271,2016,1298
nebraska-omaha,31,18,13,0.581,0.27,-1.87,2617,2499,75.9,109.9,0.41,0.29,0.564,49.1,48,12.2,7.6,0.521,14.9,29.1,0.305,2016,1303
nebraska,34,16,18,0.471,9.16,5.89,2456,2345,67,107,0.326,0.321,0.538,51.4,45,10.9,9.3,0.503,14.9,31.8,0.238,2016,1304
nevada-las vegas,33,18,15,0.545,5.47,3.15,2581,2427,74,103.3,0.404,0.377,0.537,49.8,56.3,10.6,12.4,0.503,16.5,29.2,0.275,2016,1424
nevada,32,19,13,0.594,2.1,2.23,2383,2287,72.5,100.7,0.407,0.288,0.508,51.2,48,9.8,14.6,0.457,15.5,31.7,0.298,2016,1305
new hampshire,31,19,12,0.613,-8.24,-7.14,2203,2164,68.4,103,0.364,0.338,0.515,53.7,48.2,5.8,4.8,0.473,14.5,30.8,0.262,2016,1306
new mexico state,33,23,10,0.697,3.55,-3.87,2368,2087,66.8,105.8,0.373,0.28,0.542,56.7,53.8,6,11.9,0.512,17.3,36,0.252,2016,1308
new mexico,32,17,15,0.531,5.14,2.52,2432,2348,72.2,104.9,0.439,0.303,0.565,52.7,55.7,7.8,11.2,0.52,18.7,30.5,0.324,2016,1307
new orleans,30,10,20,0.333,-14,-7.97,2249,2325,74,100.9,0.448,0.264,0.509,50.5,53.5,11.3,7.1,0.464,17.2,35.5,0.308,2016,1309
niagara,32,7,25,0.219,-10.92,-3.51,2067,2304,67.2,94.6,0.34,0.323,0.489,50.5,47.2,7.5,8.7,0.449,18,32.8,0.237,2016,1310
nicholls state,34,11,23,0.324,-16.45,-4.99,2298,2598,71.6,93.3,0.417,0.37,0.511,46,55,9.3,11.8,0.476,19.4,25.4,0.273,2016,1311
njit,31,17,14,0.548,-4.96,-4.96,2339,2310,70.6,106,0.346,0.424,0.555,48.8,60.7,9.3,6.8,0.517,15.9,27.8,0.257,2016,1312
norfolk state,33,17,16,0.515,-6.61,-6.81,2440,2408,68.9,106.5,0.428,0.365,0.546,49.5,50.6,8.2,14.2,0.491,15.7,32,0.332,2016,1313
north carolina-asheville,33,22,11,0.667,1.64,-3.81,2496,2227,70.6,106.3,0.415,0.306,0.544,51.5,46.9,13.1,9,0.507,16,31.9,0.288,2016,1421
north carolina a&t,32,10,22,0.313,-16.49,-8.2,2169,2433,68.7,96.7,0.368,0.345,0.503,49.1,45.5,7.2,7.4,0.46,17,30,0.261,2016,1299
north carolina central,32,13,19,0.406,-12.63,-9.67,2220,2235,67.7,102,0.386,0.319,0.52,51.3,52.1,8.5,4.8,0.487,17.2,34.2,0.256,2016,1300
north carolina-greensboro,32,14,18,0.438,-5.72,-2.78,2333,2357,68.5,105.7,0.296,0.406,0.547,49.7,50.5,8.8,7.2,0.523,15.4,27.4,0.201,2016,1422
north carolina state,33,16,17,0.485,10.09,9.3,2482,2456,68.3,109.3,0.389,0.298,0.524,52.7,44.2,6.6,11,0.485,13.5,36.3,0.272,2016,1301
north carolina-wilmington,32,25,7,0.781,6.36,-0.01,2535,2286,71.3,109.8,0.376,0.33,0.546,50.7,47.7,10.4,11.3,0.511,13.7,32.2,0.264,2016,1423
north carolina,34,28,6,0.824,23.04,10.33,2797,2365,70.7,116.4,0.322,0.267,0.555,55.6,58.5,9.7,11.3,0.521,12.9,39.7,0.238,2016,1314
north dakota state,33,20,13,0.606,-0.67,-2.74,2271,2129,65.8,104.2,0.337,0.343,0.533,50.8,42.5,9.1,9.3,0.503,14.1,26.9,0.23,2016,1295
north dakota,32,17,15,0.531,-3.77,-5.15,2388,2277,72.4,101.9,0.393,0.288,0.54,50.4,49.8,10.7,8,0.507,16.2,25,0.268,2016,1315
north florida,33,22,11,0.667,-0.97,-4.54,2797,2607,72.2,117.4,0.304,0.486,0.608,47.1,56,7.3,10.5,0.586,13.7,25.4,0.22,2016,1316
north texas,32,12,20,0.375,-9.76,-3.16,2386,2505,71.9,103.2,0.456,0.308,0.534,49.6,43.6,9.1,7.9,0.502,16.7,30.2,0.293,2016,1317
northeastern,33,18,15,0.545,1.9,1.65,2376,2339,66,105.5,0.389,0.426,0.555,48.9,61.2,9,8.5,0.518,16.1,26.3,0.279,2016,1318
northern arizona,30,5,25,0.167,-18.1,-2.64,2054,2438,70.9,94.5,0.354,0.372,0.503,45.8,53.2,8.5,5.4,0.463,16.1,22.8,0.249,2016,1319
northern colorado,31,10,21,0.323,-12.02,-3.81,2292,2482,69.9,105.7,0.421,0.316,0.553,50.1,41,8.2,7.6,0.511,17.3,30,0.306,2016,1294
northern illinois,33,21,12,0.636,-0.12,-1.12,2400,2215,69.3,104.2,0.399,0.348,0.526,53,56.8,10.5,10.6,0.49,15.7,33.1,0.273,2016,1296
northern iowa,34,22,12,0.647,8.22,3.58,2312,2139,63.7,106.3,0.328,0.424,0.571,46.9,50.7,8.9,7.7,0.537,14.1,17.9,0.247,2016,1320
northern kentucky,30,9,21,0.3,-6.8,-0.62,2116,2233,69.4,100.8,0.317,0.382,0.535,49.1,58.1,6.8,7.6,0.507,17.2,27,0.216,2016,1297
northwestern state,28,8,20,0.286,-15.49,-5.4,2224,2413,75.2,105.6,0.369,0.342,0.561,45.5,56.2,8.3,7.4,0.517,17.2,28.7,0.283,2016,1322
northwestern,32,20,12,0.625,10.51,4.48,2304,2111,64.3,109.8,0.284,0.417,0.546,51.4,63,5.9,10.7,0.525,13.6,30.5,0.189,2016,1321
notre dame,32,21,11,0.656,14.25,9.13,2423,2259,65.4,115.3,0.332,0.345,0.568,51.4,49.6,8.5,10,0.535,12.8,32.5,0.244,2016,1323
oakland,32,21,11,0.656,5.68,-1.73,2762,2525,74.8,114.9,0.414,0.358,0.575,52.1,54.3,7.9,8.4,0.529,13.5,31.9,0.318,2016,1324
ohio state,33,20,13,0.606,9.78,7.36,2324,2244,67.8,102.7,0.363,0.327,0.53,51.3,45.7,8.1,14.4,0.5,16.4,30,0.244,2016,1326
ohio,32,21,11,0.656,2.3,-0.96,2508,2383,70.1,111.4,0.379,0.384,0.585,51.2,52.2,6.1,9.3,0.548,15.2,25.9,0.284,2016,1325
oklahoma state,32,12,20,0.375,8.76,9.39,2128,2148,65,101.2,0.383,0.366,0.527,49.1,53.8,8.5,11.6,0.483,16.7,28.8,0.279,2016,1329
oklahoma,32,25,7,0.781,20.91,10.94,2573,2254,71.3,111.5,0.336,0.407,0.576,51.6,52.6,9.6,12.7,0.545,15.7,30.5,0.244,2016,1328
old dominion,35,22,13,0.629,4.11,-2.55,2397,2164,62.9,108.1,0.316,0.232,0.508,54.4,50.8,9.1,12,0.477,12.1,36.6,0.215,2016,1330
oral roberts,31,14,17,0.452,-2.44,0.83,2356,2384,71.2,106.4,0.365,0.282,0.551,50.2,46.2,7.3,10.3,0.51,15,28,0.273,2016,1331
oregon state,31,19,12,0.613,10.99,9.56,2234,2169,68.4,105.3,0.377,0.32,0.531,48.5,53.2,10.9,9.8,0.5,14.5,29.6,0.253,2016,1333
oregon,34,28,6,0.824,18.13,8.98,2680,2350,69.7,112.7,0.407,0.336,0.562,52.3,49.7,10.9,15.5,0.526,14.3,34.8,0.29,2016,1332
pacific,28,8,20,0.286,-3.45,2.48,1948,2009,67.7,101,0.369,0.369,0.532,50.6,52.8,6.5,7.3,0.5,17.2,29,0.249,2016,1334
penn state,32,16,16,0.5,3.58,7.36,2107,2228,66.2,98.7,0.345,0.37,0.503,49,44,7.8,12.5,0.466,14.8,28.7,0.24,2016,1336
pennsylvania,28,11,17,0.393,-6.28,-2.24,1911,2013,68.3,99,0.316,0.409,0.517,49.3,55.6,7.6,6.6,0.489,16.9,28.4,0.212,2016,1335
pepperdine,31,18,13,0.581,2.89,1.99,2277,2208,68.2,106.1,0.409,0.248,0.531,50.8,54.4,8.3,7.1,0.496,14,30.5,0.277,2016,1337
pittsburgh,32,21,11,0.656,15.71,8.65,2433,2173,66.7,113.2,0.363,0.309,0.555,55.3,62.9,7.4,10,0.513,14.7,37.5,0.274,2016,1338
portland state,31,13,18,0.419,-7.98,-5.77,2408,2409,73.3,106,0.339,0.273,0.545,49.2,58,11.6,8.9,0.521,15.2,29.3,0.223,2016,1340
portland,32,12,20,0.375,-2.1,0.68,2483,2552,72.7,106.3,0.315,0.391,0.537,47.9,49,8.9,10.4,0.503,14.5,30.6,0.228,2016,1339
prairie view,31,7,24,0.226,-17.17,-6.56,1873,2202,68.9,87.7,0.365,0.27,0.462,46.1,40.9,11.2,7.6,0.417,18.7,30.7,0.25,2016,1341
presbyterian,31,11,20,0.355,-13.04,-4.65,2093,2259,69.6,96.6,0.353,0.288,0.514,48.4,46.4,9.5,5.9,0.475,17.6,27.4,0.251,2016,1342
princeton,28,22,6,0.786,7.35,-2.06,2213,1903,69.4,112.9,0.342,0.422,0.576,52.4,54.3,10.2,8.6,0.548,14.3,29.1,0.242,2016,1343
providence,33,23,10,0.697,11.87,7.63,2441,2301,69.9,104.6,0.377,0.369,0.524,49.8,63,9.4,9.2,0.481,14.3,30.9,0.274,2016,1344
purdue,34,26,8,0.765,21.01,7.86,2643,2196,67.8,114.3,0.351,0.355,0.572,57.5,64,6.3,11.6,0.537,14.9,35.3,0.261,2016,1345
quinnipiac,30,9,21,0.3,-9.97,-4.57,1969,2131,69.8,92.9,0.28,0.354,0.458,53.5,54,6.9,11.8,0.428,17.7,38.4,0.181,2016,1346
radford,31,16,15,0.516,-4.84,-3.11,2266,2248,67.5,105.7,0.287,0.349,0.529,52.1,48.6,8.5,10.9,0.508,16.2,35.4,0.187,2016,1347
rhode island,32,17,15,0.531,8.09,3.47,2220,2072,65.1,105.4,0.376,0.331,0.535,51.9,50,8.1,13.5,0.504,15.2,30.6,0.251,2016,1348
rice,32,12,20,0.375,-8.66,-2.56,2427,2576,71.4,105.8,0.43,0.398,0.56,47.9,51.5,8.9,7.2,0.516,16.4,27,0.319,2016,1349
richmond,32,16,16,0.5,7.46,4.75,2450,2363,68.8,110,0.353,0.365,0.568,46.2,59.7,9.4,5.9,0.547,13.3,23.2,0.233,2016,1350
rider,33,13,20,0.394,-4.6,-3.21,2177,2223,65.6,99.1,0.354,0.359,0.517,49.9,54.1,8.6,10.9,0.483,16.8,28.6,0.241,2016,1351
robert morris,32,10,22,0.313,-13.28,-7.5,2082,2267,69.3,93.5,0.356,0.362,0.5,45.4,54,11.9,10.8,0.466,17.9,26,0.237,2016,1352
rutgers,32,7,25,0.219,-6.7,6.78,2166,2571,71.2,93.9,0.341,0.268,0.496,45.5,48,8.5,8.3,0.461,17,26,0.232,2016,1353
sacramento state,31,14,17,0.452,-8.44,-5.13,2210,2237,69.2,102.6,0.351,0.346,0.531,48.5,54.9,8.1,11.3,0.501,15.1,27,0.236,2016,1170
sacred heart,30,12,18,0.4,-12.67,-8.71,2217,2336,72,101.8,0.387,0.303,0.522,50.3,46.2,8.7,6.5,0.484,17,33.4,0.266,2016,1357
saint francis (pa),30,13,17,0.433,-12.25,-8.73,2110,2181,67.6,103.2,0.389,0.357,0.524,50.7,49.7,6.8,8.4,0.485,15.9,32.3,0.271,2016,1384
saint joseph's,34,27,7,0.794,11.92,4.24,2638,2377,70.4,109.7,0.377,0.357,0.549,52,55.5,7.3,9.3,0.513,12.5,28.3,0.269,2016,1386
saint louis,32,11,21,0.344,-2.65,3.57,2106,2305,69.4,94.1,0.378,0.352,0.517,46.6,58.8,7.8,6.2,0.477,17.8,20.7,0.266,2016,1387
saint mary's (ca),32,27,5,0.844,14.37,0.76,2397,1951,62.4,120.1,0.295,0.398,0.609,54.6,61.2,7.8,9,0.592,13.4,31.1,0.206,2016,1388
saint peter's,30,14,16,0.467,-4.63,-3.93,1966,1987,66.5,97.8,0.351,0.337,0.508,52.1,51,8.2,9.3,0.477,17,30.4,0.231,2016,1389
sam houston state,33,18,15,0.545,-5.59,-6.17,2474,2346,69.9,106.9,0.382,0.381,0.535,52.1,65.1,7.9,5.3,0.5,14.2,30.1,0.264,2016,1358
samford,33,14,19,0.424,-5.56,-4.1,2440,2442,69.6,104.2,0.43,0.295,0.546,49.7,51.5,9.7,9.7,0.503,17,30.5,0.309,2016,1359
san diego state,34,25,9,0.735,11.24,3.87,2315,2049,66,102.3,0.441,0.333,0.517,54,46.3,8.5,15.2,0.473,16.2,33.8,0.303,2016,1361
san diego,30,9,21,0.3,-7.66,1.55,1822,2074,66.5,91.3,0.346,0.417,0.485,47.9,52.1,7,10.6,0.45,18,26.5,0.229,2016,1360
san francisco,30,15,15,0.5,-2.75,-0.51,2329,2362,70.8,107.8,0.385,0.358,0.535,51.9,45.9,7.5,7.9,0.503,15,33.9,0.261,2016,1362
san jose state,31,9,22,0.29,-5.83,1.31,2186,2290,71.4,98.3,0.393,0.387,0.517,49.9,59.4,8.4,10.3,0.483,17,28.3,0.259,2016,1363
santa clara,31,11,20,0.355,-4.56,1.97,2083,2272,66.4,99.2,0.34,0.388,0.515,47.8,53.7,6.4,7.7,0.476,14.8,25.4,0.244,2016,1365
savannah state,31,16,15,0.516,-15.18,-8.7,1933,2092,68.2,91.1,0.403,0.381,0.496,47.3,49.5,8.9,7.6,0.458,19.2,26.4,0.263,2016,1366
seattle,30,14,16,0.467,-9.28,-4.85,1952,2004,67.2,96.4,0.348,0.313,0.513,51.8,56.5,9,5,0.482,19.9,33.1,0.232,2016,1370
seton hall,33,25,8,0.758,14.77,7.7,2470,2237,70.6,105.6,0.406,0.296,0.534,52.8,51.3,10.3,11.7,0.502,16.6,35.1,0.271,2016,1371
siena,33,21,12,0.636,2.28,-2.91,2579,2408,70.8,108.3,0.409,0.292,0.557,55.7,53,8.5,11.7,0.518,18.7,39.6,0.296,2016,1373
south alabama,33,14,19,0.424,-8.05,-1.89,2284,2426,70.3,96.7,0.39,0.344,0.503,49.3,44.6,9.4,10.6,0.465,17.7,31.2,0.262,2016,1375
south carolina state,33,19,14,0.576,-9.88,-8.2,2411,2407,68.5,106.6,0.367,0.301,0.542,49,49.3,6.6,7.8,0.504,14.7,29.3,0.266,2016,1354
south carolina upstate,32,10,22,0.313,-13.71,-4.31,2315,2495,69,104,0.308,0.334,0.528,51.1,56.3,7.9,8.9,0.506,17.1,34.7,0.197,2016,1367
south carolina,32,24,8,0.75,12.64,6.22,2429,2208,71.7,105,0.448,0.298,0.521,54.3,51.7,9.6,12.8,0.48,16.2,38.1,0.306,2016,1376
south dakota state,33,26,7,0.788,5.48,-1.56,2517,2237,68.8,110.8,0.405,0.363,0.558,53.8,43.7,7.2,6.6,0.516,14.8,32.6,0.299,2016,1355
south dakota,32,14,18,0.438,-5.35,-0.65,2443,2537,71.7,104.4,0.305,0.289,0.546,47.7,53.9,8.9,9.8,0.518,14.8,25.5,0.214,2016,1377
south florida,33,8,25,0.242,-2.68,5.41,2085,2352,67,94.2,0.33,0.251,0.487,51.6,42.8,6.8,14.2,0.454,18.5,34.6,0.218,2016,1378
